run,total
1,998
2,996
3,997
4,995
5,996
6,997
7,998
8,999
9,1000
10,1001
11,999
12,997
13,995
14,996
15,997
16,995
17,996
18,997
19,995
20,993
21,994
22,992
23,993
24,994
25,995
26,996
27,994
28,992
29,990
30,991
31,989
32,990
33,988
34,989
35,990
36,988
37,989
38,990
39,991
40,992
41,990
42,991
43,992
44,993
45,991
46,992
47,993
48,994
49,992
50,990
51,991
52,989
53,990
54,991
55,992
56,990
57,988
58,989
59,990
60,988
61,986
62,984
63,982
64,983
65,984
66,985
67,986
68,987
69,988
70,989
71,987
72,985
73,986
74,987
75,985
76,986
77,987
78,988
79,989
80,990
81,991
82,992
83,993
84,994
85,995
86,996
87,997
88,998
89,999
90,1000
91,1001
92,1002
93,1000
94,1001
95,999
96,997
97,995
98,993
99,994
100,992
101,990
102,991
103,989
104,990
105,988
106,986
107,987
108,988
109,989
110,990
111,991
112,989
113,987
114,985
115,986
116,987
117,985
118,986
119,987
120,988
121,989
122,987
123,988
124,989
125,990
126,988
127,989
128,990
129,991
130,992
131,990
132,988
133,989
134,990
135,991
136,992
137,990
138,988
139,989
140,987
141,988
142,989
143,990
144,991
145,989
146,990
147,991
148,989
149,990
150,991
151,992
152,993
153,994
154,995
155,996
156,997
157,998
158,999
159,997
160,998
161,996
162,994
163,992
164,993
165,994
166,992
167,993
168,991
169,989
170,990
171,991
172,992
173,993
174,991
175,992
176,990
177,988
178,989
179,990
180,991
181,992
182,993
183,994
184,995
185,993
186,991
187,992
188,993
189,994
190,995
191,996
192,997
193,998
194,999
195,1000
196,1001
197,1002
198,1000
199,998
200,996
201,997
202,998
203,996
204,997
205,998
206,996
207,997
208,998
209,999
210,1000
211,1001
212,999
213,997
214,995
215,996
216,997
217,995
218,996
219,994
220,992
221,993
222,994
223,995
224,996
225,997
226,995
227,996
228,997
229,998
230,999
231,1000
232,1001
233,999
234,1000
235,1001
236,1002
237,1003
238,1001
239,1002
240,1000
241,1001
242,1002
243,1003
244,1001
245,999
246,997
247,998
248,996
249,994
250,995
251,993
252,994
253,995
254,996
255,997
256,995
257,996
258,997
259,995
260,996
261,997
262,998
263,999
264,1000
265,1001
266,1002
267,1003
268,1001
269,1002
270,1003
271,1004
272,1005
273,1006
274,1007
275,1008
276,1009
277,1007
278,1008
279,1006
280,1004
281,1005
282,1006
283,1007
284,1008
285,1009
286,1007
287,1005
288,1006
289,1007
290,1005
291,1006
292,1007
293,1008
294,1009
295,1010
296,1011
297,1012
298,1013
299,1014
300,1015
301,1013
302,1011
303,1012
304,1013
305,1014
306,1015
307,1016
308,1017
309,1018
310,1016
311,1017
312,1015
313,1016
314,1017
315,1018
316,1016
317,1014
318,1015
319,1016
320,1017
321,1015
322,1016
323,1017
324,1018
325,1019
326,1020
327,1021
328,1019
329,1020
330,1021
331,1019
332,1017
333,1015
334,1013
335,1011
336,1012
337,1010
338,1011
339,1009
340,1010
341,1011
342,1012
343,1013
344,1014
345,1015
346,1016
347,1017
348,1018
349,1016
350,1014
351,1012
352,1013
353,1014
354,1015
355,1016
356,1017
357,1018
358,1016
359,1014
360,1015
361,1016
362,1014
363,1015
364,1016
365,1014
366,1015
367,1016
368,1017
369,1015
370,1016
371,1017
372,1018
373,1016
374,1014
375,1012
376,1010
377,1011
378,1012
379,1013
380,1014
381,1015
382,1013
383,1011
384,1009
385,1010
386,1011
387,1009
388,1010
389,1008
390,1009
391,1010
392,1008
393,1009
394,1007
395,1008
396,1009
397,1010
398,1011
399,1009
400,1010
401,1008
402,1009
403,1010
404,1011
405,1009
406,1007
407,1005
408,1006
409,1007
410,1008
411,1006
412,1007
413,1008
414,1006
415,1007
416,1008
417,1006
418,1004
419,1005
420,1006
421,1004
422,1005
423,1006
424,1007
425,1005
426,1006
427,1004
428,1005
429,1006
430,1004
431,1002
432,1003
433,1004
434,1005
435,1006
436,1004
437,1005
438,1006
439,1004
440,1005
441,1006
442,1007
443,1008
444,1009
445,1007
446,1008
447,1006
448,1007
449,1008
450,1009
451,1010
452,1008
453,1006
454,1004
455,1005
456,1006
457,1004
458,1005
459,1006
460,1007
461,1008
462,1006
463,1007
464,1008
465,1006
466,1004
467,1005
468,1003
469,1004
470,1002
471,1000
472,998
473,999
474,1000
475,1001
476,999
477,1000
478,1001
479,1002
480,1003
481,1004
482,1002
483,1000
484,1001
485,1002
486,1003
487,1001
488,999
489,1000
490,1001
491,1002
492,1003
493,1001
494,999
495,997
496,998
497,999
498,1000
499,1001
500,999
501,997
502,998
503,999
504,1000
505,998
506,999
507,1000
508,998
509,999
510,1000
511,1001
512,1002
513,1003
514,1001
515,1002
516,1000
517,1001
518,1002
519,1003
520,1001
521,999
522,997
523,998
524,999
525,1000
526,1001
527,1002
528,1003
529,1004
530,1005
531,1006
532,1004
533,1002
534,1000
535,998
536,999
537,1000
538,998
539,999
540,1000
541,1001
542,1002
543,1003
544,1004
545,1005
546,1006
547,1007
548,1005
549,1003
550,1004
551,1002
552,1000
553,998
554,996
555,997
556,998
557,996
558,994
559,992
560,990
561,988
562,986
563,984
564,982
565,983
566,984
567,982
568,983
569,981
570,982
571,980
572,981
573,979
574,977
575,975
576,973
577,971
578,972
579,970
580,971
581,972
582,970
583,968
584,969
585,970
586,968
587,966
588,967
589,968
590,969
591,970
592,968
593,969
594,970
595,968
596,966
597,964
598,962
599,960
600,958
601,959
602,960
603,961
604,962
605,963
606,964
607,965
608,966
609,964
610,965
611,966
612,967
613,968
614,969
615,970
616,971
617,972
618,970
619,968
620,966
621,967
622,965
623,963
624,964
625,965
626,966
627,964
628,965
629,966
630,964
631,965
632,966
633,964
634,965
635,966
636,967
637,968
638,969
639,967
640,968
641,969
642,970
643,971
644,969
645,970
646,968
647,969
648,970
649,971
650,969
651,970
652,971
653,972
654,973
655,971
656,972
657,973
658,971
659,972
660,970
661,971
662,972
663,970
664,971
665,969
666,967
667,968
668,966
669,967
670,968
671,969
672,970
673,968
674,966
675,967
676,968
677,969
678,967
679,965
680,963
681,961
682,959
683,960
684,961
685,962
686,963
687,964
688,965
689,966
690,967
691,968
692,969
693,970
694,968
695,969
696,970
697,968
698,966
699,967
700,968
701,969
702,970
703,971
704,969
705,970
706,971
707,972
708,973
709,971
710,972
711,970
712,968
713,966
714,967
715,968
716,969
717,970
718,971
719,969
720,970
721,968
722,969
723,970
724,971
725,972
726,970
727,971
728,969
729,970
730,971
731,969
732,967
733,965
734,966
735,964
736,965
737,963
738,964
739,965
740,966
741,964
742,965
743,963
744,964
745,965
746,966
747,964
748,965
749,963
750,964
751,965
752,966
753,964
754,962
755,963
756,964
757,965
758,966
759,967
760,968
761,969
762,967
763,968
764,969
765,970
766,971
767,969
768,970
769,971
770,969
771,970
772,971
773,969
774,970
775,968
776,966
777,967
778,965
779,966
780,967
781,965
782,966
783,964
784,962
785,963
786,961
787,962
788,960
789,961
790,962
791,963
792,964
793,962
794,963
795,964
796,965
797,966
798,967
799,968
800,969
801,970
802,971
803,969
804,970
805,971
806,972
807,973
808,974
809,975
810,976
811,977
812,975
813,973
814,971
815,972
816,973
817,974
818,975
819,976
820,977
821,978
822,979
823,980
824,978
825,976
826,977
827,975
828,976
829,974
830,975
831,976
832,974
833,975
834,976
835,974
836,972
837,973
838,974
839,975
840,973
841,974
842,975
843,976
844,977
845,978
846,979
847,977
848,978
849,976
850,974
851,975
852,976
853,977
854,978
855,979
856,977
857,975
858,976
859,977
860,975
861,973
862,974
863,975
864,973
865,971
866,972
867,970
868,968
869,969
870,970
871,971
872,972
873,973
874,971
875,972
876,970
877,971
878,969
879,970
880,971
881,972
882,970
883,971
884,969
885,970
886,971
887,969
888,970
889,971
890,972
891,970
892,971
893,969
894,967
895,968
896,966
897,964
898,962
899,960
900,958
901,956
902,957
903,958
904,959
905,960
906,961
907,959
908,960
909,958
910,959
911,957
912,955
913,956
914,954
915,952
916,953
917,951
918,952
919,953
920,954
921,955
922,953
923,951
924,952
925,953
926,951
927,952
928,950
929,948
930,949
931,947
932,945
933,946
934,947
935,948
936,949
937,947
938,945
939,943
940,941
941,939
942,940
943,938
944,936
945,937
946,938
947,936
948,934
949,935
950,933
951,934
952,935
953,936
954,937
955,938
956,939
957,937
958,938
959,939
960,937
961,935
962,936
963,934
964,932
965,930
966,931
967,932
968,930
969,928
970,926
971,927
972,928
973,926
974,927
975,925
976,926
977,927
978,928
979,929
980,930
981,931
982,932
983,933
984,931
985,929
986,930
987,928
988,929
989,927
990,925
991,926
992,927
993,928
994,929
995,930
996,928
997,926
998,927
999,928
1000,929
1001,930
1002,928
1003,929
1004,930
1005,931
1006,929
1007,930
1008,928
1009,929
1010,927
1011,928
1012,929
1013,927
1014,928
1015,926
1016,927
1017,928
1018,929
1019,930
1020,931
1021,929
1022,930
1023,931
1024,929
1025,930
1026,928
1027,929
1028,930
1029,928
1030,926
1031,924
1032,925
1033,926
1034,927
1035,928
1036,929
1037,930
1038,928
1039,926
1040,924
1041,922
1042,920
1043,921
1044,922
1045,923
1046,921
1047,922
1048,920
1049,918
1050,916
1051,917
1052,918
1053,919
1054,920
1055,918
1056,919
1057,920
1058,918
1059,916
1060,917
1061,918
1062,919
1063,917
1064,915
1065,913
1066,914
1067,915
1068,916
1069,917
1070,918
1071,919
1072,920
1073,918
1074,919
1075,920
1076,918
1077,919
1078,920
1079,918
1080,916
1081,914
1082,912
1083,910
1084,908
1085,909
1086,910
1087,908
1088,906
1089,907
1090,908
1091,906
1092,907
1093,905
1094,906
1095,907
1096,908
1097,909
1098,910
1099,911
1100,912
1101,910
1102,911
1103,909
1104,910
1105,911
1106,912
1107,913
1108,914
1109,915
1110,916
1111,914
1112,915
1113,916
1114,914
1115,915
1116,916
1117,914
1118,915
1119,913
1120,914
1121,915
1122,916
1123,917
1124,918
1125,919
1126,917
1127,915
1128,916
1129,914
1130,915
1131,913
1132,914
1133,915
1134,916
1135,917
1136,918
1137,919
1138,917
1139,915
1140,913
1141,914
1142,915
1143,916
1144,914
1145,915
1146,916
1147,917
1148,918
1149,919
1150,920
1151,921
1152,919
1153,920
1154,921
1155,919
1156,920
1157,918
1158,916
1159,914
1160,915
1161,913
1162,914
1163,915
1164,916
1165,914
1166,915
1167,916
1168,914
1169,915
1170,916
1171,914
1172,912
1173,913
1174,914
1175,912
1176,913
1177,914
1178,912
1179,913
1180,914
1181,915
1182,916
1183,917
1184,918
1185,919
1186,920
1187,921
1188,922
1189,923
1190,921
1191,922
1192,920
1193,921
1194,922
1195,923
1196,921
1197,922
1198,923
1199,924
1200,925
1201,926
1202,927
1203,928
1204,929
1205,927
1206,928
1207,926
1208,924
1209,925
1210,926
1211,927
1212,928
1213,929
1214,927
1215,925
1216,926
1217,924
1218,925
1219,923
1220,921
1221,922
1222,923
1223,924
1224,925
1225,923
1226,921
1227,922
1228,920
1229,921
1230,922
1231,920
1232,921
1233,922
1234,923
1235,921
1236,922
1237,923
1238,924
1239,925
1240,923
1241,924
1242,925
1243,926
1244,924
1245,925
1246,923
1247,924
1248,922
1249,923
1250,921
1251,919
1252,920
1253,921
1254,922
1255,920
1256,918
1257,916
1258,914
1259,912
1260,913
1261,911
1262,912
1263,910
1264,908
1265,906
1266,904
1267,905
1268,906
1269,907
1270,908
1271,909
1272,910
1273,911
1274,912
1275,913
1276,911
1277,912
1278,913
1279,914
1280,915
1281,913
1282,914
1283,915
1284,913
1285,914
1286,915
1287,916
1288,917
1289,915
1290,916
1291,917
1292,915
1293,916
1294,917
1295,918
1296,919
1297,920
1298,918
1299,919
1300,920
1301,921
1302,919
1303,917
1304,918
1305,919
1306,917
1307,918
1308,916
1309,914
1310,915
1311,916
1312,917
1313,915
1314,916
1315,917
1316,918
1317,919
1318,917
1319,915
1320,913
1321,914
1322,915
1323,916
1324,917
1325,915
1326,916
1327,914
1328,912
1329,913
1330,914
1331,912
1332,913
1333,914
1334,912
1335,913
1336,914
1337,915
1338,916
1339,917
1340,918
1341,919
1342,920
1343,921
1344,922
1345,923
1346,921
1347,922
1348,920
1349,921
1350,922
1351,920
1352,921
1353,919
1354,920
1355,921
1356,922
1357,923
1358,924
1359,925
1360,926
1361,927
1362,925
1363,926
1364,924
1365,922
1366,920
1367,918
1368,919
1369,917
1370,915
1371,916
1372,914
1373,912
1374,913
1375,911
1376,909
1377,907
1378,908
1379,906
1380,904
1381,905
1382,903
1383,904
1384,905
1385,906
1386,907
1387,908
1388,906
1389,907
1390,908
1391,909
1392,907
1393,908
1394,909
1395,910
1396,911
1397,912
1398,913
1399,914
1400,915
1401,916
1402,917
1403,915
1404,916
1405,917
1406,918
1407,919
1408,920
1409,918
1410,919
1411,920
1412,918
1413,919
1414,920
1415,921
1416,922
1417,920
1418,921
1419,922
1420,923
1421,924
1422,925
1423,926
1424,927
1425,928
1426,926
1427,927
1428,928
1429,929
1430,930
1431,931
1432,932
1433,930
1434,931
1435,932
1436,930
1437,928
1438,926
1439,927
1440,928
1441,929
1442,930
1443,931
1444,932
1445,933
1446,931
1447,929
1448,927
1449,928
1450,926
1451,924
1452,925
1453,926
1454,927
1455,928
1456,926
1457,927
1458,928
1459,929
1460,930
1461,928
1462,926
1463,927
1464,928
1465,929
1466,927
1467,928
1468,929
1469,927
1470,928
1471,929
1472,930
1473,931
1474,932
1475,930
1476,931
1477,929
1478,927
1479,925
1480,926
1481,927
1482,928
1483,926
1484,927
1485,928
1486,926
1487,927
1488,928
1489,926
1490,924
1491,922
1492,923
1493,921
1494,919
1495,920
1496,921
1497,922
1498,923
1499,924
1500,925
1501,926
1502,924
1503,925
1504,926
1505,927
1506,928
1507,929
1508,930
1509,931
1510,929
1511,927
1512,925
1513,926
1514,927
1515,925
1516,926
1517,924
1518,925
1519,926
1520,927
1521,928
1522,926
1523,927
1524,928
1525,929
1526,930
1527,931
1528,932
1529,933
1530,934
1531,932
1532,933
1533,934
1534,935
1535,936
1536,934
1537,932
1538,930
1539,928
1540,926
1541,924
1542,925
1543,926
1544,927
1545,925
1546,923
1547,924
1548,925
1549,923
1550,924
1551,922
1552,920
1553,921
1554,919
1555,920
1556,918
1557,919
1558,917
1559,918
1560,919
1561,917
1562,915
1563,916
1564,914
1565,912
1566,910
1567,911
1568,909
1569,910
1570,911
1571,912
1572,910
1573,911
