run,total
1,900
2,980
3,1030
4,930
5,980
6,1030
7,1080
8,980
9,880
10,930
11,980
12,880
13,920
14,820
15,860
16,760
17,660
18,700
19,600
20,640
21,680
22,720
23,760
24,660
25,700
26,740
27,780
28,820
29,860
30,910
31,950
32,990
33,1030
34,930
35,970
36,870
37,910
38,950
39,990
40,1030
41,1070
42,1110
43,1150
44,1200
45,1240
46,1320
47,1360
48,1410
49,1460
50,1500
51,1400
52,1450
53,1350
54,1250
55,1290
56,1340
57,1240
58,1280
59,1180
60,1220
61,1270
62,1170
63,1070
64,970
65,1010
66,910
67,810
68,860
69,760
70,660
71,560
72,460
73,360
74,400
75,440
76,340
77,380
78,420
79,320
80,220
81,120
82,160
83,60
84,-40
85,0
86,-100
87,-60
88,-160
89,-120
90,-80
91,-40
92,-140
93,-100
94,-200
95,-160
96,-260
97,-210
98,-310
99,-270
100,-370
101,-290
102,-250
103,-350
104,-310
105,-410
106,-360
107,-320
108,-420
109,-380
110,-300
111,-400
112,-500
113,-450
114,-550
115,-650
116,-750
117,-710
118,-810
119,-730
120,-830
121,-790
122,-750
123,-710
124,-670
125,-620
126,-580
127,-680
128,-780
129,-740
130,-700
131,-660
132,-620
133,-580
134,-540
135,-500
136,-460
137,-560
138,-520
139,-480
140,-440
141,-400
142,-360
143,-320
144,-280
145,-230
146,-330
147,-290
148,-390
149,-350
150,-300
151,-400
152,-320
153,-420
154,-520
155,-480
156,-580
157,-530
158,-480
159,-440
160,-400
161,-350
162,-310
163,-410
164,-370
165,-470
166,-430
167,-390
168,-490
169,-450
170,-410
171,-360
172,-320
173,-270
174,-230
175,-330
176,-280
177,-240
178,-340
179,-440
180,-540
181,-500
182,-600
183,-560
184,-660
185,-620
186,-720
187,-680
188,-630
189,-730
190,-690
191,-650
192,-610
193,-710
194,-670
195,-630
196,-730
197,-690
198,-650
199,-610
200,-570
201,-530
202,-490
203,-590
204,-550
205,-650
206,-610
207,-710
208,-670
209,-770
210,-730
211,-690
212,-650
213,-610
214,-570
215,-670
216,-630
217,-550
218,-510
219,-610
220,-710
221,-670
222,-620
223,-570
224,-670
225,-630
226,-730
227,-690
228,-650
229,-750
230,-710
231,-670
232,-770
233,-730
234,-830
235,-930
236,-890
237,-850
238,-810
239,-760
240,-860
241,-820
242,-770
243,-720
244,-680
245,-630
246,-730
247,-830
248,-790
249,-890
250,-840
251,-800
252,-900
253,-1000
254,-1100
255,-1060
256,-1020
257,-970
258,-1070
259,-990
260,-1090
261,-1190
262,-1150
263,-1110
264,-1210
265,-1310
266,-1270
267,-1370
268,-1470
269,-1570
270,-1670
271,-1770
272,-1730
273,-1830
274,-1790
275,-1890
276,-1850
277,-1800
278,-1900
279,-2000
280,-2100
281,-2050
282,-2150
283,-2110
284,-2070
285,-2020
286,-1980
287,-1930
288,-1890
289,-1850
290,-1810
291,-1910
292,-1870
293,-1820
294,-1780
295,-1880
296,-1830
297,-1930
298,-1890
299,-1850
300,-1950
301,-1910
302,-2010
303,-1960
304,-1920
305,-1880
306,-1980
307,-1930
308,-1890
309,-1850
310,-1800
311,-1760
312,-1860
313,-1820
314,-1780
315,-1730
316,-1690
317,-1790
318,-1750
319,-1710
320,-1660
321,-1620
322,-1580
323,-1540
324,-1640
325,-1590
326,-1550
327,-1650
328,-1750
329,-1710
330,-1810
331,-1770
332,-1730
333,-1690
334,-1650
335,-1610
336,-1710
337,-1670
338,-1770
339,-1730
340,-1830
341,-1790
342,-1740
343,-1840
344,-1940
345,-1900
346,-1820
347,-1780
348,-1740
349,-1690
350,-1790
351,-1890
352,-1840
353,-1940
354,-1900
355,-2000
356,-2100
357,-2060
358,-2160
359,-2120
360,-2080
361,-2180
362,-2280
363,-2240
364,-2340
365,-2440
366,-2540
367,-2500
368,-2600
369,-2560
370,-2520
371,-2620
372,-2580
373,-2680
374,-2640
375,-2740
376,-2690
377,-2650
378,-2750
379,-2710
380,-2630
381,-2730
382,-2830
383,-2790
384,-2890
385,-2840
386,-2790
387,-2740
388,-2700
389,-2660
390,-2620
391,-2720
392,-2820
393,-2920
394,-2880
395,-2980
396,-2930
397,-3030
398,-2990
399,-3090
400,-3050
401,-3010
402,-2960
403,-2920
404,-3020
405,-2980
406,-2930
407,-3030
408,-2980
409,-3080
410,-3040
411,-2990
412,-2950
413,-2910
414,-2870
415,-2790
416,-2750
417,-2850
418,-2950
419,-3050
420,-3010
421,-2970
422,-2930
423,-2890
424,-2850
425,-2800
426,-2760
427,-2720
428,-2670
429,-2770
430,-2870
431,-2830
432,-2930
433,-2890
434,-2990
435,-2940
436,-2900
437,-3000
438,-2920
439,-2880
440,-2840
441,-2940
442,-3040
443,-3000
444,-2960
445,-3060
446,-3020
447,-2980
448,-2940
449,-3040
450,-3140
451,-3240
452,-3200
453,-3150
454,-3100
455,-3050
456,-3010
457,-3110
458,-3060
459,-3160
460,-3260
461,-3360
462,-3320
463,-3280
464,-3380
465,-3480
466,-3580
467,-3680
468,-3630
469,-3730
470,-3690
471,-3650
472,-3610
473,-3710
474,-3670
475,-3630
476,-3590
477,-3550
478,-3510
479,-3470
480,-3430
481,-3390
482,-3350
483,-3310
484,-3270
485,-3230
486,-3190
487,-3150
488,-3250
489,-3350
490,-3310
491,-3410
492,-3370
493,-3330
494,-3290
495,-3240
496,-3340
497,-3290
498,-3250
499,-3350
500,-3300
501,-3260
502,-3360
503,-3460
504,-3560
505,-3520
506,-3620
507,-3720
508,-3680
509,-3780
510,-3880
511,-3980
512,-4080
513,-4040
514,-4140
515,-4240
516,-4340
517,-4440
518,-4390
519,-4490
520,-4450
521,-4550
522,-4500
523,-4460
524,-4420
525,-4370
526,-4470
527,-4570
528,-4670
529,-4630
530,-4590
531,-4690
532,-4650
533,-4610
534,-4570
535,-4520
536,-4620
537,-4720
538,-4670
539,-4630
540,-4590
541,-4550
542,-4500
543,-4460
544,-4420
545,-4380
546,-4340
547,-4300
548,-4400
549,-4360
550,-4320
551,-4270
552,-4220
553,-4180
554,-4140
555,-4240
556,-4340
557,-4440
558,-4400
559,-4360
560,-4460
561,-4560
562,-4660
563,-4620
564,-4570
565,-4530
566,-4480
567,-4580
568,-4540
569,-4490
570,-4410
571,-4370
572,-4330
573,-4280
574,-4240
575,-4340
576,-4290
577,-4390
578,-4490
579,-4450
580,-4410
581,-4370
582,-4470
583,-4570
584,-4670
