run,total
1,1040
2,1080
3,980
4,880
5,920
6,960
7,1000
8,900
9,950
10,850
11,750
12,650
13,550
14,590
15,630
16,670
17,570
18,470
19,510
20,550
21,590
22,490
23,540
24,580
25,630
26,530
27,570
28,610
29,650
30,690
31,730
32,630
33,530
34,580
35,480
36,520
37,560
38,460
39,500
40,550
41,590
42,630
43,670
44,570
45,610
46,650
47,690
48,730
49,810
50,710
51,610
52,510
53,550
54,600
55,650
56,690
57,730
58,780
59,680
60,720
61,620
62,520
63,570
64,470
65,510
66,550
67,590
68,490
69,540
70,440
71,340
72,390
73,430
74,470
75,520
76,560
77,610
78,510
79,560
80,600
81,640
82,680
83,720
84,770
85,820
86,720
87,760
88,660
89,710
90,750
91,790
92,840
93,880
94,920
95,960
96,860
97,910
98,810
99,850
100,890
101,930
102,970
103,870
104,920
105,820
106,720
107,760
108,660
109,560
110,600
111,640
112,540
113,580
114,620
115,660
116,740
117,780
118,820
119,860
120,900
121,940
122,840
123,740
124,790
125,690
126,730
127,630
128,670
129,750
130,790
131,840
132,880
133,780
134,830
135,870
136,910
137,810
138,850
139,890
140,790
141,690
142,740
143,780
144,830
145,730
146,630
147,670
148,710
149,610
150,690
151,740
152,780
153,680
154,730
155,630
156,670
157,710
158,610
159,650
160,690
161,730
162,630
163,670
164,570
165,470
166,510
167,550
168,450
169,500
170,540
171,580
172,620
173,520
174,420
175,320
176,370
177,410
178,450
179,500
180,400
181,300
182,350
183,390
184,430
185,330
186,230
187,270
188,320
189,370
190,270
191,310
192,210
193,250
194,290
195,330
196,380
197,280
198,320
199,360
200,410
201,310
202,210
203,250
204,300
205,350
206,390
207,430
208,470
209,550
210,590
211,630
212,670
213,750
214,650
215,690
216,730
217,770
218,670
219,570
220,470
221,510
222,550
223,590
224,490
225,530
226,430
227,330
228,230
229,270
230,350
231,390
232,430
233,470
234,520
235,420
236,500
237,550
238,600
239,500
240,540
241,580
242,620
243,660
244,560
245,600
246,500
247,400
248,300
249,350
250,250
251,300
252,340
253,240
254,140
255,220
256,120
257,20
258,60
259,100
260,140
261,180
262,220
263,270
264,310
265,210
266,250
267,290
268,190
269,90
270,-10
271,-110
272,-60
273,-20
274,30
275,70
276,-30
277,-130
278,-80
279,-180
280,-130
281,-90
282,-50
283,-10
284,30
285,70
286,-30
287,50
288,100
289,150
290,230
291,270
292,310
293,350
294,250
295,290
296,330
297,370
298,270
299,310
300,360
301,410
302,490
303,530
304,570
305,610
306,650
307,690
308,730
309,630
310,670
311,710
312,610
313,510
314,410
315,310
316,210
317,290
318,330
319,370
320,420
321,460
322,510
323,550
324,590
325,670
326,720
327,620
328,660
329,700
330,600
331,640
332,680
333,580
334,620
335,520
336,560
337,610
338,660
339,700
340,600
341,640
342,680
343,720
344,770
345,670
346,710
347,610
348,650
349,550
350,450
351,350
352,250
353,290
354,190
355,240
356,280
357,330
358,230
359,270
360,310
361,360
362,410
363,310
364,360
365,410
366,450
367,490
368,540
369,580
370,480
371,520
372,570
373,610
374,650
375,690
376,730
377,770
378,810
379,710
380,610
381,650
382,550
383,600
384,640
385,680
386,720
387,620
388,660
389,700
390,740
391,780
392,820
393,720
394,760
395,660
396,700
397,740
398,640
399,690
400,730
401,770
402,670
403,710
404,760
405,810
406,850
407,890
408,930
409,970
410,870
411,920
412,960
413,860
414,760
415,800
416,850
417,900
418,940
419,990
420,1030
421,1070
422,1110
423,1150
424,1190
425,1230
426,1280
427,1320
428,1360
429,1410
430,1310
431,1350
432,1400
433,1440
434,1490
435,1530
436,1570
437,1470
438,1520
439,1570
440,1610
441,1650
442,1690
443,1590
444,1630
445,1670
446,1710
447,1610
448,1660
449,1700
450,1600
451,1640
452,1680
453,1720
454,1620
455,1520
456,1420
457,1470
458,1520
459,1560
460,1600
461,1650
462,1700
463,1750
464,1790
465,1830
466,1730
467,1770
468,1810
469,1850
470,1890
471,1930
472,1970
473,2010
474,1910
475,1960
476,2000
477,2040
478,1940
479,1980
480,2020
481,2070
482,1970
483,1870
484,1910
485,1950
486,1990
487,2040
488,2080
489,1980
490,1880
491,1930
492,1830
493,1870
494,1770
495,1810
496,1850
497,1750
498,1790
499,1830
500,1730
501,1770
502,1820
503,1720
504,1620
505,1670
506,1710
507,1610
508,1660
509,1700
510,1740
511,1640
512,1680
513,1720
514,1620
515,1660
516,1560
517,1600
518,1650
519,1690
520,1730
521,1780
522,1820
523,1720
524,1770
525,1810
526,1850
527,1900
528,1940
529,1980
530,2020
531,1920
532,1960
533,1860
534,1900
535,1800
536,1700
537,1740
538,1780
539,1820
540,1860
541,1760
542,1660
543,1710
544,1760
545,1800
546,1700
547,1740
548,1780
549,1820
550,1860
551,1900
552,1940
553,1990
554,1890
555,1930
556,1970
557,2020
558,2100
559,2150
560,2050
561,2090
562,1990
563,1890
564,1930
565,1980
566,2030
567,1930
568,1970
569,2010
570,2050
571,1950
572,1850
573,1750
574,1790
575,1830
576,1870
577,1770
578,1810
579,1710
580,1610
581,1650
582,1690
583,1590
584,1490
585,1530
586,1570
587,1610
588,1510
589,1550
590,1590
591,1640
592,1540
593,1590
594,1630
595,1670
596,1570
597,1610
598,1650
599,1690
600,1590
601,1630
602,1670
603,1570
604,1470
605,1370
606,1410
607,1460
608,1360
609,1400
610,1440
611,1340
612,1380
613,1420
614,1320
615,1370
616,1270
617,1320
618,1220
619,1260
620,1300
621,1340
622,1380
623,1420
624,1470
625,1370
626,1410
627,1450
628,1350
629,1400
630,1440
631,1340
632,1240
633,1280
634,1320
635,1360
636,1260
637,1160
638,1200
639,1100
640,1000
641,900
642,940
643,980
644,880
645,930
646,830
647,730
648,770
649,810
650,850
651,890
652,790
653,840
654,740
655,820
656,870
657,770
658,670
659,710
660,750
661,790
662,830
663,730
664,630
665,670
666,720
667,620
668,670
669,570
670,610
671,660
672,560
673,600
674,650
675,550
676,600
677,650
678,550
679,450
680,490
681,530
682,570
683,470
684,520
685,560
686,460
687,360
688,260
689,160
690,60
691,-40
692,0
693,-100
694,-60
695,-20
696,-120
697,-70
698,-30
699,-130
700,-50
701,-150
702,-110
703,-70
704,-20
705,-120
706,-70
707,-30
708,10
709,-90
710,-10
711,30
712,70
713,110
714,10
715,-90
716,-190
717,-140
718,-100
719,-60
720,-20
721,20
722,70
723,-30
724,-130
725,-230
726,-190
727,-150
728,-250
729,-350
730,-310
731,-270
732,-370
733,-330
734,-290
735,-390
736,-350
737,-310
738,-270
739,-230
740,-330
741,-280
742,-380
743,-480
744,-580
745,-680
746,-640
747,-590
748,-550
749,-650
750,-610
751,-560
752,-520
753,-470
754,-420
755,-380
756,-480
757,-580
758,-680
759,-640
760,-740
761,-700
762,-660
763,-620
764,-570
765,-530
766,-490
767,-590
768,-540
769,-640
770,-600
771,-560
772,-510
773,-470
774,-430
775,-530
776,-480
777,-580
778,-540
779,-500
780,-460
781,-420
782,-380
783,-330
784,-290
785,-250
786,-200
787,-300
788,-260
789,-220
790,-180
791,-140
792,-240
793,-340
794,-300
795,-400
796,-360
797,-320
798,-280
799,-240
800,-200
801,-300
802,-260
803,-220
804,-320
805,-280
806,-240
807,-340
808,-300
809,-400
810,-360
811,-460
812,-560
813,-660
814,-620
815,-720
816,-680
817,-640
818,-600
819,-560
820,-520
821,-470
822,-430
823,-390
824,-350
825,-310
826,-270
827,-220
828,-180
829,-280
830,-240
831,-340
832,-440
833,-400
834,-360
835,-320
836,-240
837,-200
838,-300
839,-400
840,-350
841,-450
842,-550
843,-510
844,-460
845,-420
846,-380
847,-480
848,-440
849,-540
850,-460
851,-410
852,-370
853,-330
854,-430
855,-390
856,-350
857,-450
858,-400
859,-320
860,-420
861,-520
862,-480
863,-430
864,-390
865,-490
866,-440
867,-540
868,-500
869,-460
870,-420
871,-380
872,-480
873,-430
874,-390
875,-350
876,-450
877,-410
878,-370
879,-330
880,-250
881,-210
882,-170
883,-130
884,-90
885,-50
886,-10
887,-110
888,-70
889,-170
890,-120
891,-70
892,-30
893,20
894,-80
895,-40
896,0
897,-100
898,-60
899,-20
900,20
901,60
902,-40
903,-140
904,-240
905,-200
906,-160
907,-260
908,-360
909,-320
910,-280
911,-240
912,-200
913,-160
914,-110
915,-210
916,-310
917,-270
918,-230
919,-330
920,-290
921,-390
922,-490
923,-450
924,-550
925,-650
926,-610
927,-710
928,-660
929,-580
930,-540
931,-490
932,-590
933,-540
934,-500
935,-460
936,-420
937,-380
938,-480
939,-430
940,-380
941,-340
942,-300
943,-260
944,-210
945,-160
946,-260
947,-360
948,-320
949,-280
950,-380
951,-340
952,-300
953,-260
954,-220
955,-170
956,-130
957,-230
958,-150
959,-250
960,-210
961,-160
962,-120
963,-220
964,-180
965,-140
966,-90
967,-40
968,10
969,-90
970,-50
971,-150
972,-250
973,-350
974,-310
975,-230
976,-330
977,-280
978,-230
979,-180
980,-280
981,-230
982,-330
983,-280
984,-240
985,-340
986,-300
987,-260
988,-220
989,-180
990,-140
991,-100
992,-60
993,-20
994,20
995,70
996,120
997,160
998,200
999,250
1000,290
1001,330
1002,370
1003,450
1004,490
1005,390
1006,430
1007,470
1008,370
1009,410
1010,310
1011,350
1012,250
1013,290
1014,370
1015,420
1016,470
1017,370
1018,410
1019,450
1020,490
1021,530
1022,610
1023,650
1024,690
1025,730
1026,770
1027,810
1028,850
1029,890
1030,790
1031,690
1032,730
1033,630
1034,680
1035,720
1036,760
1037,800
1038,840
1039,880
1040,930
1041,980
1042,1020
1043,920
1044,820
1045,720
1046,770
1047,810
1048,850
1049,890
1050,940
1051,990
1052,1040
1053,1080
1054,1130
1055,1030
1056,1080
1057,980
1058,1020
1059,920
1060,960
1061,1000
1062,1040
1063,1080
1064,980
1065,880
1066,920
1067,960
1068,860
1069,900
1070,940
1071,840
1072,880
1073,920
1074,960
1075,1000
1076,1040
1077,1080
1078,1120
1079,1160
1080,1200
1081,1240
1082,1280
1083,1320
1084,1360
1085,1410
1086,1460
1087,1360
1088,1260
1089,1160
1090,1200
1091,1240
1092,1280
1093,1330
1094,1370
1095,1270
1096,1310
1097,1350
1098,1390
1099,1430
1100,1330
1101,1370
1102,1420
1103,1320
1104,1370
1105,1410
1106,1450
1107,1490
1108,1390
1109,1290
1110,1330
1111,1230
1112,1280
1113,1320
1114,1360
1115,1400
1116,1440
1117,1490
1118,1390
1119,1430
1120,1330
1121,1230
1122,1270
1123,1310
1124,1350
1125,1250
1126,1290
1127,1340
1128,1380
1129,1420
