run,total
1,900
2,940
3,980
4,880
5,920
6,820
7,860
8,910
9,960
10,1000
11,1040
12,1080
13,1130
14,1030
15,930
16,830
17,730
18,770
19,810
20,850
21,750
22,800
23,700
24,750
25,650
26,550
27,450
28,490
29,530
30,570
31,470
32,370
33,270
34,310
35,350
36,390
37,430
38,470
39,370
40,410
41,310
42,350
43,390
44,290
45,190
46,90
47,-10
48,30
49,-70
50,-170
51,-130
52,-90
53,-190
54,-150
55,-110
56,-70
57,-30
58,20
59,60
60,110
61,10
62,-90
63,-190
64,-150
65,-250
66,-350
67,-450
68,-550
69,-650
70,-750
71,-710
72,-660
73,-610
74,-710
75,-660
76,-620
77,-580
78,-540
79,-640
80,-740
81,-690
82,-650
83,-610
84,-570
85,-670
86,-630
87,-730
88,-680
89,-780
90,-740
91,-700
92,-660
93,-760
94,-720
95,-680
96,-640
97,-740
98,-840
99,-760
100,-720
101,-680
102,-780
103,-740
104,-840
105,-790
106,-740
107,-700
108,-660
109,-620
110,-720
111,-680
112,-780
113,-740
114,-700
115,-660
116,-620
117,-580
118,-680
119,-640
120,-600
121,-700
122,-800
123,-900
124,-1000
125,-960
126,-1060
127,-1160
128,-1260
129,-1220
130,-1320
131,-1280
132,-1240
133,-1340
134,-1300
135,-1250
136,-1210
137,-1160
138,-1260
139,-1210
140,-1160
141,-1120
142,-1070
143,-1030
144,-990
145,-950
146,-1050
147,-1000
148,-960
149,-1060
150,-1160
151,-1120
152,-1220
153,-1180
154,-1280
155,-1380
156,-1480
157,-1430
158,-1390
159,-1340
160,-1300
161,-1400
162,-1500
163,-1460
164,-1420
165,-1520
166,-1620
167,-1580
168,-1540
169,-1500
170,-1600
171,-1700
172,-1800
173,-1760
174,-1860
175,-1810
176,-1770
177,-1730
178,-1690
179,-1790
180,-1740
181,-1700
182,-1800
183,-1760
184,-1860
185,-1960
186,-2060
187,-2020
188,-2120
189,-2220
190,-2180
191,-2280
192,-2230
193,-2180
194,-2140
195,-2100
196,-2060
197,-2160
198,-2120
199,-2080
200,-2040
201,-2000
202,-2100
203,-2060
204,-1980
205,-1940
206,-2040
207,-2140
208,-2240
209,-2200
210,-2300
211,-2400
212,-2360
213,-2460
214,-2420
215,-2380
216,-2300
217,-2250
218,-2210
219,-2170
220,-2130
221,-2090
222,-2050
223,-2150
224,-2100
225,-2060
226,-2020
227,-2120
228,-2070
229,-1990
230,-1950
231,-1910
232,-1860
233,-1820
234,-1920
235,-2020
236,-1970
237,-1920
238,-1870
239,-1830
240,-1790
241,-1750
242,-1710
243,-1670
244,-1620
245,-1720
246,-1680
247,-1640
248,-1740
249,-1840
250,-1940
251,-2040
252,-2000
253,-1960
254,-1920
255,-1880
256,-1830
257,-1930
258,-1890
259,-1850
260,-1810
261,-1770
262,-1730
263,-1690
264,-1640
265,-1590
266,-1550
267,-1500
268,-1460
269,-1420
270,-1520
271,-1480
272,-1580
273,-1680
274,-1780
275,-1880
276,-1840
277,-1940
278,-1900
279,-1860
280,-1820
281,-1920
282,-1880
283,-1840
284,-1940
285,-2040
286,-1990
287,-2090
288,-2050
289,-2010
290,-1970
291,-1930
292,-1890
293,-1840
294,-1800
295,-1760
296,-1710
297,-1810
298,-1770
299,-1720
300,-1680
301,-1780
302,-1880
303,-1980
304,-1940
305,-2040
306,-2000
307,-2100
308,-2060
309,-2020
310,-2120
311,-2080
312,-2180
313,-2130
314,-2090
315,-2190
316,-2290
317,-2250
318,-2210
319,-2160
320,-2120
321,-2080
322,-2040
323,-1990
324,-1950
325,-2050
326,-2150
327,-2250
328,-2350
329,-2310
330,-2410
331,-2510
332,-2470
333,-2420
334,-2380
335,-2480
336,-2580
337,-2540
338,-2640
339,-2740
340,-2700
341,-2800
342,-2900
343,-2850
344,-2950
345,-3050
346,-3150
347,-3070
348,-3170
349,-3090
350,-3190
351,-3140
352,-3100
353,-3200
354,-3160
355,-3260
356,-3360
357,-3320
358,-3280
359,-3380
360,-3340
361,-3440
362,-3400
363,-3360
364,-3320
365,-3420
366,-3520
367,-3470
368,-3430
369,-3380
370,-3340
371,-3300
372,-3400
373,-3500
374,-3600
375,-3560
376,-3510
377,-3460
378,-3560
379,-3520
380,-3440
381,-3400
382,-3500
383,-3460
384,-3420
385,-3520
386,-3470
387,-3430
388,-3380
389,-3480
390,-3580
391,-3540
392,-3640
393,-3590
394,-3550
395,-3510
396,-3470
397,-3430
398,-3390
399,-3350
400,-3300
401,-3260
402,-3180
403,-3130
404,-3090
405,-3040
406,-3140
407,-3240
408,-3190
409,-3150
410,-3100
411,-3200
412,-3160
413,-3260
414,-3210
415,-3170
416,-3270
417,-3230
418,-3330
419,-3290
420,-3250
421,-3210
422,-3310
423,-3410
424,-3370
425,-3470
426,-3570
427,-3530
428,-3630
429,-3590
430,-3690
431,-3650
432,-3600
433,-3560
434,-3520
435,-3620
436,-3580
437,-3540
438,-3490
439,-3410
440,-3370
441,-3470
442,-3570
443,-3520
444,-3620
445,-3570
446,-3670
447,-3770
448,-3730
449,-3830
450,-3930
451,-3890
452,-3850
