run,total
1,1040
2,940
3,980
4,1020
5,1060
6,1110
7,1150
8,1190
9,1230
10,1130
11,1030
12,1070
13,970
14,1010
15,1060
16,1100
17,1140
18,1190
19,1090
20,1140
21,1180
22,1230
23,1130
24,1170
25,1070
26,970
27,1010
28,1050
29,1100
30,1140
31,1040
32,1090
33,1130
34,1170
35,1210
36,1250
37,1290
38,1190
39,1090
40,1130
41,1170
42,1210
43,1110
44,1010
45,1050
46,1090
47,1130
48,1170
49,1210
50,1260
51,1160
52,1200
53,1100
54,1140
55,1180
56,1080
57,980
58,1020
59,1070
60,970
61,1010
62,1050
63,950
64,990
65,1030
66,930
67,830
68,870
69,770
70,820
71,860
72,900
73,940
74,840
75,880
76,780
77,680
78,580
79,480
80,520
81,420
82,470
83,510
84,550
85,450
86,490
87,540
88,590
89,630
90,530
91,570
92,470
93,510
94,410
95,490
96,530
97,430
98,330
99,370
100,270
101,170
102,210
103,110
104,150
105,190
106,230
107,310
108,350
109,390
110,430
111,470
112,370
113,410
114,310
115,210
116,250
117,300
118,340
119,380
120,280
121,180
122,80
123,-20
124,20
125,70
126,110
127,160
128,210
129,110
130,190
131,90
132,-10
133,30
134,70
135,-30
136,10
137,60
138,-40
139,40
140,90
141,-10
142,40
143,90
144,130
145,170
146,210
147,110
148,150
149,50
150,-50
151,-150
152,-110
153,-70
154,-30
155,20
156,-80
157,0
158,50
159,90
160,130
161,170
162,210
163,250
164,150
165,190
166,230
167,130
168,180
169,80
170,120
171,160
172,200
173,100
174,0
175,50
176,100
177,150
178,50
179,-50
180,0
181,40
182,80
183,120
184,20
185,-80
186,-30
187,-130
188,-90
189,-40
190,-140
191,-240
192,-200
193,-300
194,-400
195,-360
196,-320
197,-280
198,-380
199,-340
200,-300
201,-260
202,-220
203,-170
204,-120
205,-80
206,-180
207,-130
208,-230
209,-330
210,-290
211,-250
212,-210
213,-170
214,-130
215,-80
216,-40
217,-140
218,-240
219,-340
220,-300
221,-260
222,-360
223,-310
224,-410
225,-370
226,-330
227,-290
228,-240
229,-200
230,-160
231,-110
232,-210
233,-170
234,-130
235,-90
236,-40
237,0
238,-100
239,-60
240,-20
241,-120
242,-220
243,-320
244,-270
245,-230
246,-180
247,-130
248,-90
249,-50
250,-10
251,-110
252,-70
253,-30
254,-130
255,-90
256,-190
257,-150
258,-250
259,-350
260,-310
261,-410
262,-510
263,-470
264,-430
265,-380
266,-480
267,-580
268,-540
269,-640
270,-600
271,-550
272,-510
273,-610
274,-570
275,-530
276,-630
277,-730
278,-830
279,-750
280,-700
281,-650
282,-610
283,-710
284,-810
285,-760
286,-720
287,-670
288,-630
289,-730
290,-680
291,-630
292,-730
293,-690
294,-650
295,-750
296,-850
297,-950
298,-910
299,-860
300,-820
301,-780
302,-730
303,-690
304,-790
305,-890
306,-850
307,-810
308,-770
309,-730
310,-690
311,-790
312,-740
313,-700
314,-650
315,-750
316,-850
317,-810
318,-760
319,-720
320,-820
321,-740
322,-700
323,-800
324,-760
325,-720
326,-680
327,-630
328,-590
329,-540
330,-500
331,-450
332,-410
333,-510
334,-610
335,-710
336,-810
337,-910
338,-870
339,-820
340,-780
341,-740
342,-690
343,-790
344,-740
345,-700
346,-660
347,-760
348,-720
349,-670
350,-770
351,-730
352,-830
353,-930
354,-890
355,-850
356,-810
357,-910
358,-870
359,-830
360,-790
361,-890
362,-990
363,-1090
364,-1050
365,-1000
366,-960
367,-920
368,-880
369,-840
370,-800
371,-900
372,-1000
373,-960
374,-920
375,-880
376,-840
377,-940
378,-900
379,-860
380,-820
381,-780
382,-740
383,-840
384,-790
385,-890
386,-850
387,-810
388,-730
389,-830
390,-790
391,-750
392,-710
393,-810
394,-910
395,-870
396,-970
397,-930
398,-890
399,-990
400,-1090
401,-1050
402,-1000
403,-1100
404,-1060
405,-1020
406,-980
407,-930
408,-1030
409,-950
410,-910
411,-1010
412,-970
413,-1070
414,-1020
415,-980
416,-1080
417,-1040
418,-1140
419,-1090
420,-1190
421,-1290
422,-1390
423,-1350
424,-1300
425,-1250
426,-1210
427,-1170
428,-1130
429,-1230
430,-1330
431,-1280
432,-1230
433,-1190
434,-1140
435,-1090
436,-1050
437,-1000
438,-960
439,-920
440,-880
441,-980
442,-940
443,-900
444,-1000
445,-950
446,-910
447,-1010
448,-1110
449,-1070
450,-1170
451,-1120
452,-1080
453,-1180
454,-1140
455,-1240
456,-1200
457,-1150
458,-1250
459,-1200
460,-1300
461,-1260
462,-1220
463,-1180
464,-1140
465,-1100
466,-1050
467,-1010
468,-1110
469,-1210
470,-1170
471,-1130
