run,total
1,999
2,1001
3,1000
4,1002
5,1001
6,1003
7,1004
8,1005
9,1004
10,1006
11,1005
12,1003
13,1006
14,1008
15,1007
16,1009
17,1008
18,1006
19,1009
20,1007
21,1004
22,1008
23,1005
24,1009
25,1012
26,1014
27,1015
28,1014
29,1016
30,1015
31,1013
32,1016
33,1014
34,1011
35,1015
36,1018
37,1016
38,1013
39,1009
40,1014
41,1010
42,1015
43,1011
44,1006
45,1012
46,1007
47,1013
48,1008
49,1002
50,995
51,987
52,996
53,988
54,997
55,989
56,980
57,970
58,959
59,947
60,934
61,920
62,905
63,889
64,872
65,890
66,907
67,891
68,908
69,924
70,939
71,925
72,910
73,894
74,877
75,859
76,840
77,820
78,799
79,777
80,754
81,730
82,755
83,731
84,706
85,732
86,707
87,733
88,758
89,782
90,759
91,783
92,760
93,736
94,711
95,685
96,658
97,630
98,601
99,631
100,602
101,632
102,603
103,633
104,604
105,574
106,605
107,575
108,606
109,576
110,607
111,577
112,608
113,578
114,609
115,579
116,610
117,640
118,611
119,581
120,612
121,642
122,671
123,699
124,672
125,700
126,673
127,645
128,616
129,646
130,675
131,647
132,676
133,648
134,619
135,649
136,620
137,590
138,559
139,527
140,560
141,528
142,561
143,529
144,496
145,530
146,563
147,595
148,564
149,532
150,499
151,533
152,566
153,534
154,567
155,599
156,630
157,600
158,569
159,601
160,632
161,602
162,571
163,603
164,572
165,604
166,573
167,541
168,508
169,474
170,439
171,475
172,510
173,544
174,511
175,545
176,512
177,478
178,443
179,407
180,370
181,408
182,371
183,409
184,372
185,334
186,295
187,335
188,374
189,336
190,375
191,413
192,376
193,338
194,377
195,339
196,378
197,416
198,453
199,489
200,524
201,558
202,591
203,559
204,526
205,560
206,593
207,561
208,594
209,626
210,595
211,627
212,596
213,628
214,659
215,629
216,598
217,566
218,599
219,631
220,600
221,568
222,535
223,501
224,536
225,502
226,467
227,431
228,468
229,504
230,539
231,573
232,606
233,638
234,607
235,639
236,608
237,576
238,609
239,577
240,610
241,578
242,545
243,511
244,546
245,580
246,613
247,645
248,614
249,646
250,615
251,647
252,678
253,708
254,679
255,709
256,680
257,710
258,681
259,711
260,740
261,768
262,795
263,821
264,796
265,770
266,797
267,771
268,798
269,824
270,799
271,773
272,800
273,826
274,801
275,827
276,852
277,828
278,853
279,829
280,854
281,830
282,855
283,879
284,856
285,832
286,807
287,833
288,808
289,782
290,809
291,835
292,810
293,836
294,861
295,885
296,862
297,838
298,863
299,839
300,814
301,788
302,761
303,789
304,816
305,790
306,763
307,735
308,764
309,792
310,819
311,793
312,820
313,846
314,821
315,847
316,872
317,848
318,873
319,849
320,824
321,798
322,771
323,743
324,772
325,744
326,715
327,745
328,774
329,746
330,775
331,803
332,830
333,856
334,881
335,905
336,882
337,858
338,833
339,807
340,834
341,808
342,835
343,861
344,836
345,862
346,887
347,911
348,934
349,956
350,935
351,913
352,936
353,958
354,937
355,959
356,938
357,960
358,981
359,961
360,982
361,1002
362,983
363,1003
364,984
365,964
366,943
367,921
368,898
369,922
370,899
371,923
372,900
373,924
374,947
375,969
376,948
377,926
378,903
379,879
380,904
381,928
382,951
383,973
384,994
385,1014
386,995
387,1015
388,996
389,1016
390,1035
391,1017
392,1036
393,1018
394,1037
395,1055
396,1072
397,1056
398,1039
399,1057
400,1074
401,1090
402,1075
403,1059
404,1042
405,1060
406,1077
407,1061
408,1078
409,1094
410,1079
411,1095
412,1110
413,1124
414,1137
415,1125
416,1138
417,1126
418,1139
419,1127
420,1114
421,1100
422,1085
423,1101
424,1116
425,1102
426,1117
427,1103
428,1088
429,1104
430,1089
431,1105
432,1090
433,1074
434,1057
435,1039
436,1058
437,1040
438,1021
439,1001
440,980
441,1002
442,981
443,1003
444,982
445,1004
446,983
447,961
448,938
449,914
450,889
451,863
452,890
453,916
454,891
455,917
456,892
457,866
458,893
459,919
460,944
461,920
462,945
463,921
464,946
465,970
466,947
467,923
468,948
469,924
470,899
471,925
472,950
473,926
474,901
475,927
476,952
477,928
478,953
479,929
480,904
481,878
482,905
483,879
484,852
485,880
486,853
487,825
488,854
489,882
490,855
491,883
492,856
493,884
494,911
495,937
496,912
497,886
498,913
499,939
500,964
501,988
502,965
503,941
504,916
505,890
506,917
507,943
508,918
509,944
510,919
511,945
512,920
513,946
514,921
515,947
516,922
517,896
518,923
519,897
520,870
521,842
522,871
523,843
524,872
525,900
526,873
527,901
528,928
529,954
530,979
531,1003
532,1026
533,1004
534,1027
535,1049
536,1070
537,1090
538,1071
539,1091
540,1110
541,1128
542,1111
543,1093
544,1112
545,1094
546,1075
547,1055
548,1034
549,1012
550,989
551,965
552,940
553,914
554,941
555,967
556,992
557,1016
558,993
559,969
560,944
561,918
562,891
563,863
564,892
565,864
566,893
567,921
568,894
569,866
570,837
571,807
572,776
573,744
574,711
575,677
576,642
577,678
578,643
579,679
580,714
581,680
582,715
583,749
584,716
585,682
586,717
587,751
588,784
589,816
590,847
591,817
592,848
593,878
594,907
595,935
596,962
597,936
598,909
599,937
600,964
601,990
602,1015
603,1039
604,1062
605,1040
606,1063
607,1041
608,1018
609,994
610,969
611,995
612,970
613,944
614,971
615,945
616,972
617,946
618,919
619,891
620,920
621,948
622,975
623,1001
624,976
625,1002
626,1027
627,1051
628,1028
629,1004
630,979
631,953
632,926
633,954
634,927
635,899
636,928
637,900
638,929
639,957
640,984
641,1010
642,1035
643,1059
644,1082
645,1060
646,1037
647,1013
648,1038
649,1014
650,1039
651,1015
652,990
653,1016
654,1041
655,1017
656,992
657,966
658,939
659,911
660,882
661,852
662,821
663,789
664,822
665,790
666,823
667,791
668,758
669,724
670,759
671,793
672,760
673,794
674,827
675,859
676,828
677,860
678,829
679,861
680,892
681,922
