run,total
1,999
2,1001
3,1002
4,1001
5,1003
6,1002
7,1000
8,1003
9,1001
10,1004
11,1006
12,1005
13,1007
14,1006
15,1004
16,1001
17,997
18,992
19,986
20,993
21,987
22,980
23,988
24,995
25,1001
26,996
27,1002
28,1007
29,1003
30,998
31,992
32,999
33,1005
34,1000
35,994
36,1001
37,995
38,988
39,980
40,989
41,981
42,972
43,982
44,973
45,983
46,992
47,984
48,975
49,965
50,976
51,986
52,995
53,987
54,978
55,988
56,997
57,989
58,980
59,990
60,999
61,991
62,982
63,992
64,1001
65,993
66,1002
67,994
68,985
69,995
70,986
71,996
72,1005
73,997
74,988
75,998
76,989
77,979
78,990
79,980
80,991
81,1001
82,1010
83,1018
84,1011
85,1019
86,1012
87,1004
88,1013
89,1021
90,1028
91,1034
92,1029
93,1035
94,1030
95,1024
96,1017
97,1009
98,1000
99,1010
100,1001
