run,total
1,999
2,1001
3,1002
4,1003
5,1002
6,1004
7,1003
8,1005
9,1004
10,1002
11,999
12,995
13,1000
14,1004
15,1001
16,997
17,992
18,986
19,979
20,987
21,980
22,972
23,963
24,973
25,982
26,974
27,965
28,955
29,966
30,976
31,967
32,977
33,968
34,958
35,969
36,979
37,988
38,980
39,971
40,981
41,972
42,962
43,973
44,963
45,974
46,964
47,953
48,941
49,928
50,914
51,899
52,915
53,900
54,916
55,931
56,917
57,902
58,886
59,903
60,887
61,904
62,920
63,935
64,949
65,936
66,922
67,937
68,951
69,964
70,952
71,939
72,953
73,966
74,978
75,967
76,955
77,968
78,980
79,969
80,957
81,944
82,958
83,971
84,983
85,972
86,984
87,973
88,961
89,974
90,962
91,949
92,935
93,950
94,936
95,951
96,937
97,922
98,906
99,923
100,939
