run,total
1,999
2,1001
3,1002
4,1003
5,1002
6,1004
7,1005
8,1004
9,1002
10,1005
11,1003
12,1006
13,1004
14,1007
15,1005
16,1002
17,998
18,993
19,987
20,980
21,988
22,995
23,1001
24,1006
25,1010
26,1007
27,1003
28,1008
29,1012
30,1009
31,1005
32,1010
33,1014
34,1011
35,1007
36,1002
37,996
38,989
39,997
40,990
41,998
42,991
43,983
44,992
45,1000
46,993
47,985
48,976
49,986
50,995
51,1003
52,996
53,988
54,979
55,989
56,980
57,990
58,999
59,1007
60,1014
61,1020
62,1025
63,1021
64,1016
65,1022
66,1017
67,1023
68,1018
69,1024
70,1019
71,1013
72,1020
73,1026
74,1031
75,1035
76,1038
77,1040
78,1039
79,1041
80,1040
81,1042
82,1041
83,1039
84,1036
85,1040
86,1043
87,1041
88,1038
89,1034
90,1039
91,1035
92,1040
93,1036
94,1031
95,1037
96,1032
97,1038
98,1033
99,1039
100,1034
101,1028
102,1021
103,1013
104,1004
105,994
106,1005
107,1015
108,1024
109,1016
110,1025
111,1033
112,1040
113,1046
114,1051
115,1055
116,1052
117,1056
118,1059
119,1061
120,1060
121,1058
122,1055
123,1051
124,1056
125,1060
126,1063
127,1061
128,1058
129,1054
130,1049
131,1043
132,1036
133,1044
134,1037
135,1029
136,1020
137,1030
138,1021
139,1031
140,1022
141,1012
142,1023
143,1013
144,1024
145,1014
146,1003
147,991
148,978
149,964
150,949
151,965
152,950
153,966
154,951
155,967
156,952
157,968
158,983
159,969
160,954
161,938
162,955
163,939
164,956
165,972
166,957
167,973
168,988
169,1002
170,989
171,975
172,960
173,976
174,961
175,977
176,992
177,978
178,963
179,979
180,964
181,980
182,965
183,981
184,996
185,1010
186,1023
187,1011
188,1024
189,1036
190,1047
191,1037
192,1048
193,1038
194,1049
195,1059
196,1068
197,1076
198,1083
199,1077
200,1070
201,1062
202,1071
203,1063
204,1054
205,1044
206,1055
207,1045
208,1034
209,1022
210,1035
211,1047
212,1036
213,1048
214,1059
215,1049
216,1060
217,1070
218,1079
219,1071
220,1080
221,1088
222,1081
223,1073
224,1064
225,1054
226,1065
227,1055
228,1044
229,1056
230,1067
231,1077
232,1086
233,1094
234,1101
235,1095
236,1102
237,1108
238,1103
239,1109
240,1104
241,1098
242,1105
243,1111
244,1116
245,1120
246,1117
247,1113
248,1118
249,1114
250,1109
251,1115
252,1120
253,1124
254,1127
255,1129
256,1128
257,1126
258,1123
259,1119
260,1114
261,1120
262,1125
263,1121
264,1126
265,1122
266,1117
267,1123
268,1118
269,1112
270,1105
271,1113
272,1120
273,1126
274,1121
275,1115
276,1108
277,1116
278,1123
279,1117
280,1124
281,1118
282,1125
283,1119
284,1112
285,1104
286,1095
287,1105
288,1114
289,1106
290,1097
291,1107
292,1116
293,1124
294,1117
295,1109
296,1100
297,1110
298,1119
299,1127
300,1134
301,1128
302,1121
303,1113
304,1122
305,1130
306,1137
307,1143
308,1138
309,1132
310,1139
311,1145
312,1150
313,1154
314,1151
315,1147
316,1142
317,1136
318,1143
319,1149
320,1144
321,1138
322,1131
323,1139
324,1132
325,1140
326,1147
327,1141
328,1148
329,1142
330,1135
331,1127
332,1118
333,1108
334,1119
335,1109
336,1120
337,1130
338,1139
339,1147
340,1154
341,1148
342,1155
343,1149
344,1156
345,1150
346,1157
347,1151
348,1158
349,1152
350,1159
351,1165
352,1160
353,1166
354,1171
355,1167
356,1162
357,1156
358,1149
359,1141
360,1150
361,1158
362,1165
363,1171
364,1176
365,1180
366,1183
367,1181
368,1184
369,1182
370,1179
371,1175
372,1180
373,1184
374,1181
375,1185
376,1188
377,1190
378,1191
379,1192
380,1193
381,1194
382,1193
383,1191
384,1188
385,1184
386,1179
387,1173
388,1166
389,1174
390,1181
391,1175
392,1168
393,1160
394,1169
395,1161
396,1152
397,1142
398,1131
399,1143
400,1154
401,1144
402,1155
403,1165
404,1174
405,1166
406,1157
407,1147
408,1136
409,1124
410,1137
411,1125
412,1138
413,1126
414,1113
415,1127
416,1140
417,1152
418,1141
419,1129
420,1142
421,1154
422,1165
423,1175
424,1184
425,1176
426,1185
427,1193
428,1186
429,1178
430,1187
431,1195
432,1202
433,1208
434,1213
435,1217
436,1220
437,1218
438,1215
439,1219
440,1216
441,1212
442,1217
443,1221
444,1224
445,1226
446,1227
447,1226
448,1228
449,1227
450,1229
451,1230
452,1229
453,1227
454,1224
455,1228
456,1231
457,1229
458,1226
459,1222
460,1227
461,1223
462,1228
463,1224
464,1219
465,1225
466,1230
467,1226
468,1231
469,1227
470,1232
471,1236
472,1239
473,1241
474,1240
475,1242
476,1241
477,1239
478,1236
479,1240
480,1237
481,1233
482,1238
483,1242
484,1245
485,1247
486,1246
487,1248
488,1247
489,1249
490,1250
491,1251
492,1250
493,1252
494,1253
495,1254
496,1253
497,1251
498,1248
499,1244
500,1249
501,1245
502,1240
503,1234
504,1227
505,1235
506,1228
507,1236
508,1243
509,1237
510,1244
511,1238
512,1231
513,1239
514,1232
515,1240
516,1247
517,1241
518,1234
519,1226
520,1235
521,1227
522,1236
523,1244
524,1251
525,1245
526,1238
527,1246
528,1239
529,1231
530,1222
531,1232
532,1223
533,1233
534,1224
535,1234
536,1243
537,1235
538,1244
539,1252
540,1259
541,1265
542,1270
543,1274
544,1277
545,1279
546,1280
547,1279
548,1281
549,1282
550,1281
551,1283
552,1284
553,1285
554,1286
555,1285
556,1287
557,1286
558,1288
559,1289
560,1290
561,1289
562,1287
563,1284
564,1288
565,1291
566,1289
567,1286
568,1290
569,1287
570,1283
571,1278
572,1272
573,1265
574,1257
575,1266
576,1274
577,1267
578,1275
579,1268
580,1276
581,1269
582,1277
583,1270
584,1278
585,1285
586,1279
587,1272
588,1264
