run,total
1,999
2,997
3,1000
4,1002
5,1001
6,1003
7,1004
8,1003
9,1001
10,1004
11,1002
12,1005
13,1003
14,1006
15,1004
16,1007
17,1009
18,1008
19,1006
20,1009
21,1011
22,1012
23,1011
24,1009
25,1006
26,1002
27,997
28,991
29,984
30,992
31,999
32,1005
33,1000
34,1006
35,1011
36,1007
37,1012
38,1008
39,1013
40,1017
41,1020
42,1022
43,1021
44,1019
45,1022
46,1020
47,1023
48,1025
49,1026
50,1027
51,1028
52,1027
53,1025
54,1022
55,1026
56,1023
57,1019
58,1024
59,1020
60,1015
61,1021
62,1016
63,1010
64,1003
65,1011
66,1018
67,1012
68,1005
69,997
70,988
71,978
72,967
73,979
74,990
75,1000
76,1009
77,1017
78,1024
79,1030
80,1035
81,1039
82,1042
83,1044
84,1043
85,1041
86,1038
87,1042
88,1045
89,1043
90,1040
91,1036
92,1041
93,1045
94,1048
95,1050
96,1049
97,1047
98,1044
99,1040
100,1045
101,1041
102,1036
103,1030
104,1023
105,1015
106,1024
107,1032
108,1025
109,1017
110,1008
111,1018
112,1027
113,1019
114,1028
115,1036
116,1029
117,1021
118,1012
119,1022
120,1031
121,1039
122,1046
123,1052
124,1047
125,1053
126,1058
127,1062
128,1059
129,1055
130,1050
131,1044
132,1037
133,1029
134,1038
135,1046
136,1053
137,1059
138,1064
139,1068
140,1071
141,1073
142,1074
143,1073
144,1071
145,1074
146,1072
147,1075
148,1077
149,1076
150,1078
151,1077
152,1075
153,1072
154,1068
155,1063
156,1069
157,1074
158,1070
159,1065
160,1059
161,1066
162,1072
163,1067
164,1061
165,1054
166,1062
167,1069
168,1063
169,1070
170,1076
171,1071
172,1077
173,1072
174,1066
175,1059
176,1067
177,1060
178,1068
179,1061
180,1069
181,1076
182,1082
183,1087
184,1091
185,1088
186,1092
187,1095
188,1097
189,1096
190,1094
191,1091
192,1095
193,1092
194,1088
195,1083
196,1077
197,1070
198,1078
199,1085
200,1091
201,1086
202,1092
203,1097
204,1093
205,1088
206,1094
207,1089
208,1095
209,1090
210,1084
211,1077
212,1085
213,1092
214,1086
215,1093
216,1087
217,1094
218,1088
219,1081
220,1089
221,1096
222,1102
223,1107
224,1103
225,1098
226,1104
227,1099
228,1093
229,1100
230,1094
231,1101
232,1095
233,1102
234,1096
235,1089
236,1097
237,1104
238,1098
239,1091
240,1099
241,1092
242,1084
243,1093
244,1085
245,1076
246,1066
247,1077
248,1067
249,1078
250,1068
251,1079
252,1089
253,1098
254,1090
255,1081
256,1071
257,1082
258,1092
259,1101
260,1093
261,1084
262,1094
263,1103
264,1111
265,1118
266,1112
267,1119
268,1113
269,1106
270,1114
271,1107
272,1099
273,1108
