run,total
1,999
2,997
3,994
4,998
5,995
6,999
7,1002
8,1000
9,997
10,993
11,988
12,982
13,989
14,995
15,990
16,984
17,991
18,985
19,992
20,986
21,979
22,987
23,980
24,972
25,981
26,989
27,982
28,974
29,983
30,975
31,966
32,976
33,985
34,993
35,986
36,994
37,987
38,979
39,970
40,980
41,971
42,981
43,972
44,962
45,973
46,963
47,952
48,940
49,927
50,913
51,928
52,942
53,955
54,943
55,956
56,944
57,957
58,969
59,980
60,990
61,999
62,991
63,1000
64,1008
65,1001
66,1009
67,1016
68,1010
69,1017
70,1011
71,1004
72,996
73,987
74,997
75,1006
76,1014
77,1007
78,1015
79,1022
80,1028
81,1023
82,1029
83,1024
84,1030
85,1025
86,1019
87,1012
88,1020
89,1027
90,1021
91,1014
92,1006
93,997
94,1007
95,1016
96,1024
97,1031
98,1037
99,1042
100,1038
