run,total
1,1001
2,999
3,996
4,991
5,999
6,996
7,991
8,983
9,996
10,991
11,999
12,1002
13,1001
14,1003
15,1004
16,1005
17,1004
18,1005
19,1004
20,1002
21,999
22,1004
23,1002
24,1005
25,1004
26,1002
27,999
28,994
29,1002
30,1005
31,1004
32,1002
33,1005
34,1006
35,1005
36,1007
37,1008
38,1007
39,1006
40,1004
41,1001
42,1006
43,1008
44,1009
45,1008
46,1009
47,1010
48,1009
49,1011
50,1010
51,1011
52,1010
53,1012
54,1013
55,1012
56,1011
57,1009
58,1012
59,1011
60,1009
61,1012
62,1013
63,1012
64,1010
65,1013
66,1012
67,1014
68,1013
69,1012
70,1014
71,1015
72,1014
73,1015
74,1016
75,1017
76,1016
77,1018
78,1019
79,1020
80,1019
81,1018
82,1020
83,1021
84,1020
85,1019
86,1017
87,1014
88,1019
89,1017
90,1020
91,1019
92,1017
93,1014
94,1019
95,1021
96,1022
97,1021
98,1020
99,1022
100,1023
101,1024
102,1025
103,1026
104,1027
105,1026
106,1025
107,1027
108,1028
109,1029
110,1030
111,1029
112,1030
113,1031
114,1030
115,1028
116,1025
117,1030
118,1032
119,1033
120,1032
121,1033
122,1032
123,1030
124,1027
125,1022
126,1030
127,1027
128,1032
129,1030
130,1033
131,1032
132,1030
133,1033
134,1034
135,1033
136,1031
137,1034
138,1035
139,1036
140,1035
141,1033
142,1030
143,1035
144,1037
145,1036
146,1035
147,1033
148,1036
149,1037
150,1038
151,1039
152,1040
153,1041
154,1042
155,1043
156,1044
157,1043
158,1041
159,1044
160,1045
161,1046
162,1047
163,1046
164,1048
165,1047
166,1048
167,1047
168,1045
169,1042
170,1037
171,1029
172,1042
173,1047
174,1045
175,1048
176,1049
177,1050
178,1051
179,1050
180,1048
181,1045
182,1050
183,1052
184,1053
185,1054
186,1055
187,1056
188,1055
189,1054
190,1052
191,1049
192,1054
193,1056
194,1057
195,1058
196,1059
197,1060
198,1061
199,1062
200,1061
201,1062
202,1061
203,1059
204,1056
205,1061
206,1063
207,1064
208,1065
209,1064
210,1065
211,1064
212,1062
213,1065
214,1066
215,1067
216,1068
217,1069
218,1068
219,1070
220,1071
221,1070
222,1069
223,1071
224,1072
225,1073
226,1072
227,1073
228,1072
229,1074
230,1073
231,1072
232,1070
233,1067
234,1072
235,1074
236,1073
237,1074
238,1075
239,1076
240,1075
241,1073
242,1076
243,1077
244,1078
245,1079
246,1078
247,1076
248,1079
249,1078
250,1080
251,1079
252,1080
253,1079
254,1077
255,1080
256,1081
257,1080
258,1078
259,1081
260,1082
261,1081
262,1083
263,1082
264,1081
265,1079
266,1076
267,1081
268,1079
269,1082
270,1081
271,1083
272,1082
273,1081
274,1079
275,1076
276,1081
277,1079
278,1076
279,1081
280,1083
281,1084
282,1083
283,1082
284,1084
285,1083
286,1082
287,1084
288,1083
289,1082
290,1084
291,1083
292,1084
293,1083
294,1085
295,1084
296,1083
297,1081
298,1078
299,1073
300,1081
301,1078
302,1073
303,1065
304,1078
305,1073
306,1065
307,1052
308,1031
309,1065
310,1052
311,1031
312,1065
313,1078
