run,total
1,1001
2,1000
3,1001
4,1000
5,1002
6,1001
7,1002
8,1003
9,1002
10,1000
11,997
12,1002
13,1000
14,1003
15,1004
16,1003
17,1005
18,1004
19,1003
20,1005
21,1006
22,1005
23,1006
24,1005
25,1003
26,1006
27,1005
28,1007
29,1006
30,1005
31,1003
32,1006
33,1007
34,1006
35,1008
36,1007
37,1006
38,1004
39,1007
40,1006
41,1004
42,1007
43,1006
44,1008
45,1009
46,1008
47,1009
48,1010
49,1009
50,1011
51,1012
52,1011
53,1012
54,1011
55,1013
56,1012
57,1011
58,1013
59,1014
60,1013
61,1012
62,1014
63,1013
64,1014
65,1013
66,1011
67,1008
68,1013
69,1011
70,1014
71,1013
72,1011
73,1014
74,1013
75,1011
76,1008
77,1013
78,1015
79,1016
80,1017
81,1018
82,1019
83,1020
84,1021
85,1020
86,1021
87,1020
88,1022
89,1023
90,1022
91,1023
92,1022
93,1020
94,1017
95,1022
96,1024
97,1025
98,1026
99,1025
100,1024
