run,total
1,999
2,1000
3,999
4,997
5,1000
6,999
7,1001
8,1002
9,1001
10,1000
11,1002
12,1003
13,1002
14,1003
15,1002
16,1004
17,1005
18,1006
19,1007
20,1008
21,1007
22,1008
23,1009
24,1008
25,1010
26,1011
27,1010
28,1011
29,1012
30,1013
31,1014
32,1013
33,1011
34,1014
35,1013
36,1015
37,1016
38,1015
39,1014
40,1016
41,1017
42,1016
43,1015
44,1013
45,1016
46,1017
47,1018
48,1017
49,1015
50,1012
51,1007
52,1015
53,1012
54,1017
55,1015
56,1018
57,1019
58,1020
59,1019
60,1017
61,1020
62,1021
63,1022
64,1023
65,1024
66,1023
67,1021
68,1024
69,1023
70,1021
71,1024
72,1023
73,1025
74,1024
75,1023
76,1025
77,1026
78,1025
79,1026
80,1027
81,1028
82,1029
83,1028
84,1026
85,1029
86,1030
87,1031
88,1032
89,1033
90,1032
91,1030
92,1027
93,1022
94,1030
95,1033
96,1032
97,1034
98,1033
99,1032
100,1030
