run,total
1,1001
2,1002
3,1001
4,999
5,1003
6,1002
7,1004
8,1003
9,1005
10,1004
11,1002
12,998
13,990
14,1006
15,1007
16,1008
17,1009
18,1010
19,1011
20,1012
21,1013
22,1014
23,1015
24,1014
25,1016
26,1017
27,1016
28,1014
29,1010
30,1002
31,1018
32,1017
33,1019
34,1020
35,1021
36,1020
37,1018
38,1022
39,1023
40,1022
41,1024
42,1025
43,1026
44,1025
45,1023
46,1027
47,1028
48,1027
49,1029
50,1028
51,1026
52,1030
53,1031
54,1032
55,1031
56,1033
57,1032
58,1034
59,1033
60,1035
61,1034
62,1032
63,1036
64,1037
65,1038
66,1039
67,1040
68,1039
69,1041
70,1040
71,1042
72,1043
73,1042
74,1040
75,1036
76,1028
77,1012
78,1044
79,1043
80,1045
81,1046
82,1047
83,1046
84,1044
85,1040
86,1048
87,1049
88,1048
89,1050
90,1049
91,1047
92,1051
93,1050
94,1052
95,1051
96,1053
97,1052
98,1054
99,1053
100,1055
101,1054
102,1056
103,1055
104,1053
105,1049
106,1057
107,1056
108,1058
109,1057
110,1059
111,1058
112,1060
113,1059
114,1057
115,1061
116,1060
117,1062
118,1061
119,1059
120,1055
121,1047
122,1063
123,1064
124,1063
125,1061
126,1057
127,1049
128,1065
129,1064
130,1066
131,1067
132,1066
133,1064
134,1060
135,1068
136,1067
137,1065
138,1061
139,1053
140,1069
141,1068
142,1070
143,1069
144,1071
145,1072
146,1071
147,1073
148,1074
149,1075
150,1076
151,1075
152,1073
153,1069
154,1061
155,1045
156,1013
157,1077
158,1076
159,1074
160,1078
161,1077
162,1075
163,1071
164,1079
165,1078
166,1076
167,1072
168,1080
169,1081
170,1082
171,1083
172,1084
173,1083
174,1081
175,1077
176,1069
177,1053
178,1021
179,1085
180,1086
181,1085
182,1083
183,1079
184,1071
185,1087
186,1086
187,1084
188,1088
189,1087
190,1089
191,1090
192,1089
193,1087
194,1091
195,1092
196,1091
197,1089
198,1093
199,1092
200,1090
201,1094
202,1093
203,1091
204,1095
205,1096
206,1097
207,1098
208,1099
209,1098
210,1096
211,1100
212,1101
213,1102
214,1103
215,1104
216,1105
217,1106
218,1105
219,1107
220,1108
221,1109
222,1110
223,1109
224,1107
225,1103
226,1095
227,1111
228,1112
229,1113
230,1112
231,1114
232,1115
233,1116
234,1117
235,1118
236,1119
237,1118
238,1120
239,1121
240,1120
241,1118
242,1114
243,1106
244,1122
245,1123
246,1124
247,1125
248,1124
249,1126
250,1125
251,1123
252,1119
253,1127
254,1128
255,1127
256,1125
257,1129
258,1128
259,1126
260,1130
261,1129
262,1127
263,1123
264,1131
265,1132
266,1131
267,1133
268,1134
269,1133
270,1131
271,1127
272,1119
273,1135
274,1134
275,1132
276,1136
277,1135
278,1137
279,1138
280,1139
281,1138
282,1136
283,1132
284,1124
285,1140
286,1139
287,1141
288,1142
289,1143
290,1142
291,1140
292,1144
293,1143
294,1141
295,1137
296,1129
297,1145
298,1144
299,1142
300,1146
301,1145
302,1147
303,1148
304,1147
305,1145
306,1141
307,1149
308,1150
309,1149
310,1151
311,1152
312,1153
313,1152
314,1150
315,1146
316,1138
317,1154
318,1153
319,1155
320,1154
321,1152
322,1148
323,1140
324,1124
325,1092
326,1156
327,1155
328,1153
329,1149
330,1141
331,1125
332,1093
333,1029
334,901
335,645
336,1157
337,1158
338,1157
339,1159
340,1158
341,1156
342,1152
343,1144
344,1128
345,1096
346,1160
347,1161
348,1162
349,1161
350,1163
351,1162
352,1164
353,1165
354,1166
355,1167
356,1168
357,1169
358,1170
359,1171
360,1170
361,1172
362,1171
363,1169
364,1165
365,1157
366,1141
367,1173
368,1172
369,1174
370,1173
371,1171
372,1167
373,1175
374,1174
375,1176
376,1175
377,1173
378,1169
379,1177
380,1176
381,1174
382,1170
383,1162
384,1146
385,1114
386,1178
387,1179
388,1180
389,1181
390,1182
391,1183
392,1184
393,1185
394,1186
395,1187
396,1188
397,1189
398,1188
399,1186
400,1190
401,1191
402,1192
403,1191
404,1189
405,1193
406,1194
407,1195
408,1196
409,1197
410,1198
411,1197
412,1199
413,1200
414,1201
415,1200
416,1198
417,1202
418,1201
419,1199
420,1195
421,1187
422,1203
423,1204
424,1205
425,1206
426,1205
427,1203
428,1207
429,1208
430,1209
431,1208
432,1210
433,1211
434,1210
435,1212
436,1211
437,1209
438,1205
439,1213
440,1214
441,1215
442,1214
443,1212
444,1216
445,1217
446,1216
447,1214
448,1210
449,1218
450,1219
451,1218
452,1216
453,1212
454,1204
455,1188
456,1156
457,1092
458,964
459,708
460,1220
461,1221
462,1222
463,1221
464,1223
465,1222
466,1220
467,1216
468,1208
469,1224
470,1223
471,1221
472,1217
473,1225
474,1224
475,1226
476,1225
477,1223
478,1219
479,1211
480,1227
481,1228
482,1229
483,1228
484,1230
485,1229
486,1227
487,1223
488,1231
489,1232
490,1233
491,1234
492,1235
493,1236
494,1237
495,1236
496,1238
497,1239
498,1238
499,1240
500,1241
501,1242
502,1243
503,1244
504,1243
505,1241
506,1245
507,1246
508,1247
509,1248
510,1247
511,1249
512,1248
513,1250
514,1249
515,1251
516,1252
517,1253
518,1254
519,1255
520,1254
521,1252
522,1256
523,1257
524,1256
525,1258
526,1257
527,1255
528,1259
529,1260
530,1259
531,1261
532,1260
533,1258
534,1262
535,1263
536,1262
537,1264
538,1265
539,1264
540,1262
541,1266
542,1267
543,1268
544,1267
545,1269
546,1270
547,1271
548,1272
549,1271
550,1273
551,1272
552,1274
553,1275
554,1274
555,1272
556,1276
557,1275
558,1277
559,1278
560,1277
561,1279
562,1278
563,1276
564,1272
565,1280
566,1279
567,1281
568,1282
569,1283
570,1282
571,1284
572,1283
573,1285
574,1286
575,1287
576,1288
577,1287
578,1285
579,1281
580,1289
581,1290
582,1291
583,1290
584,1288
585,1292
586,1291
587,1293
588,1294
589,1293
590,1295
591,1296
592,1297
593,1296
594,1298
595,1299
