run,total
1,1001
2,1002
3,1003
4,1002
5,1000
6,1004
7,1005
8,1004
9,1006
10,1005
11,1007
12,1008
13,1007
14,1005
15,1009
16,1010
17,1009
18,1007
19,1011
20,1010
21,1008
22,1012
23,1011
24,1013
25,1014
26,1013
27,1011
28,1015
29,1016
30,1015
31,1013
32,1009
33,1001
34,1017
35,1016
36,1014
37,1018
38,1017
39,1015
40,1011
41,1003
42,987
43,955
44,891
45,763
46,1019
47,1020
48,1019
49,1017
50,1013
51,1005
52,989
53,1021
54,1020
55,1018
56,1022
57,1023
58,1024
59,1023
60,1021
61,1017
62,1009
63,1025
64,1024
65,1022
66,1018
67,1010
68,994
69,1026
70,1027
71,1026
72,1028
73,1029
74,1030
75,1029
76,1031
77,1030
78,1032
79,1033
80,1034
81,1033
82,1035
83,1034
84,1032
85,1028
86,1020
87,1004
88,972
89,908
90,780
91,524
92,1036
93,1035
94,1033
95,1037
96,1038
97,1039
98,1040
99,1041
100,1042
101,1043
102,1044
103,1043
104,1045
105,1044
106,1042
107,1046
108,1047
109,1046
110,1048
111,1049
112,1048
113,1046
114,1042
115,1050
116,1051
117,1050
118,1048
119,1052
120,1053
121,1052
122,1054
123,1053
124,1051
125,1047
126,1055
127,1054
128,1052
129,1056
130,1057
131,1056
132,1054
133,1050
134,1058
135,1057
136,1059
137,1058
138,1056
139,1060
140,1061
141,1060
142,1062
143,1063
144,1062
145,1060
146,1056
147,1064
148,1065
149,1066
150,1065
151,1063
152,1067
153,1066
154,1064
155,1060
156,1068
157,1069
158,1070
159,1069
160,1071
161,1072
162,1073
163,1074
164,1073
165,1075
166,1076
167,1075
168,1073
169,1077
170,1078
171,1079
172,1078
173,1076
174,1072
175,1064
176,1080
177,1081
178,1082
179,1083
180,1084
181,1083
182,1085
183,1084
184,1082
185,1078
186,1086
187,1085
188,1083
189,1087
190,1088
191,1089
192,1090
193,1091
194,1092
195,1091
196,1089
197,1085
198,1093
199,1094
200,1095
201,1094
202,1092
203,1088
204,1080
205,1096
206,1095
207,1093
208,1097
209,1096
210,1098
211,1097
212,1099
213,1098
214,1100
215,1099
216,1101
217,1102
218,1101
219,1099
220,1103
221,1102
222,1104
223,1105
224,1106
225,1105
226,1103
227,1107
228,1108
229,1109
230,1108
231,1110
232,1109
233,1111
234,1110
235,1108
236,1112
237,1111
238,1109
239,1113
240,1112
241,1114
242,1115
243,1116
244,1115
245,1117
246,1116
247,1114
248,1118
249,1117
250,1119
251,1118
252,1116
253,1120
254,1121
255,1120
256,1122
257,1121
258,1119
259,1123
260,1124
261,1123
262,1121
263,1125
264,1124
265,1126
266,1125
267,1127
268,1126
269,1124
270,1128
271,1129
272,1128
273,1130
274,1131
275,1130
276,1128
277,1132
278,1131
279,1133
280,1134
281,1133
282,1131
283,1127
284,1135
285,1134
286,1136
287,1135
288,1137
289,1136
290,1138
291,1139
292,1138
293,1136
294,1140
295,1141
296,1142
297,1141
298,1139
299,1135
300,1127
301,1111
302,1079
303,1015
304,1143
305,1142
306,1144
307,1143
308,1141
309,1145
310,1146
311,1145
312,1143
313,1139
314,1131
315,1115
316,1083
317,1147
318,1148
319,1147
320,1149
321,1150
322,1149
323,1147
324,1151
325,1150
326,1152
327,1151
328,1153
329,1152
330,1154
331,1153
332,1151
333,1147
334,1155
335,1156
336,1155
337,1157
338,1156
339,1154
340,1150
341,1142
342,1158
343,1159
344,1158
345,1156
346,1152
347,1160
348,1159
349,1157
350,1161
351,1160
352,1158
353,1162
354,1163
355,1164
356,1165
357,1164
358,1166
359,1167
360,1168
361,1169
362,1170
363,1171
364,1170
365,1172
366,1171
367,1169
368,1173
369,1174
370,1175
371,1174
372,1176
373,1177
374,1176
375,1174
376,1170
377,1162
378,1146
379,1178
380,1179
381,1178
382,1176
383,1180
384,1179
385,1177
386,1181
387,1182
388,1181
389,1183
390,1182
391,1180
392,1184
393,1185
394,1184
395,1182
396,1178
397,1186
398,1187
399,1188
400,1189
401,1190
402,1189
403,1187
404,1191
405,1190
406,1192
407,1191
408,1193
409,1192
410,1190
411,1194
412,1195
413,1196
414,1197
415,1196
416,1198
417,1197
418,1199
419,1198
420,1196
421,1192
422,1200
423,1201
424,1202
425,1201
426,1199
427,1195
428,1187
429,1171
430,1203
431,1204
432,1205
433,1206
434,1205
435,1203
436,1199
437,1207
438,1208
439,1209
440,1208
441,1206
442,1210
443,1209
444,1207
445,1211
446,1210
447,1208
448,1212
449,1213
450,1214
451,1213
452,1211
453,1215
454,1214
455,1216
456,1215
457,1217
458,1216
459,1214
460,1210
461,1202
462,1186
463,1154
464,1218
465,1219
466,1220
467,1221
468,1222
469,1223
470,1224
471,1225
472,1224
473,1222
474,1218
475,1226
476,1227
477,1228
478,1229
479,1230
480,1229
481,1227
482,1231
483,1230
484,1232
485,1231
486,1233
487,1234
488,1233
489,1235
490,1234
491,1236
492,1235
493,1233
494,1229
495,1237
496,1238
497,1239
498,1238
499,1240
500,1239
501,1237
502,1241
503,1240
504,1242
505,1243
506,1242
507,1244
508,1245
509,1244
510,1246
511,1245
512,1243
513,1247
514,1246
515,1244
516,1248
517,1249
518,1248
519,1246
520,1250
521,1249
522,1251
523,1250
524,1252
525,1251
526,1253
527,1254
528,1255
529,1256
530,1257
531,1258
532,1259
533,1260
534,1261
535,1262
536,1263
537,1262
538,1264
539,1265
540,1266
541,1265
542,1267
543,1268
544,1267
545,1265
546,1261
547,1269
548,1268
549,1270
550,1271
551,1272
552,1273
553,1274
554,1275
555,1276
556,1275
557,1273
558,1269
559,1261
560,1245
561,1213
562,1149
563,1277
564,1276
565,1278
566,1277
567,1279
568,1278
569,1276
570,1280
571,1281
572,1280
573,1278
574,1274
575,1266
576,1250
577,1282
578,1281
579,1283
580,1282
581,1280
582,1284
583,1283
584,1281
585,1277
586,1285
587,1284
588,1282
589,1286
590,1285
591,1287
592,1286
593,1288
594,1289
595,1288
