run,total
1,1001
2,1000
3,998
4,994
5,1002
6,1003
7,1004
8,1003
9,1001
10,997
11,989
12,973
13,1005
14,1006
15,1005
16,1003
17,999
18,1007
19,1006
20,1008
21,1007
22,1005
23,1009
24,1008
25,1006
26,1010
27,1009
28,1011
29,1012
30,1011
31,1009
32,1005
33,1013
34,1014
35,1015
36,1014
37,1012
38,1016
39,1017
40,1016
41,1018
42,1017
43,1019
44,1020
45,1019
46,1017
47,1013
48,1021
49,1022
50,1021
51,1023
52,1024
53,1023
54,1025
55,1024
56,1026
57,1025
58,1027
59,1028
60,1027
61,1025
62,1029
63,1028
64,1026
65,1022
66,1014
67,998
68,966
69,902
70,1030
71,1029
72,1027
73,1031
74,1030
75,1032
76,1031
77,1033
78,1032
79,1030
80,1026
81,1018
82,1002
83,970
84,1034
85,1035
86,1034
87,1032
88,1028
89,1020
90,1036
91,1037
92,1036
93,1038
94,1039
95,1038
96,1040
97,1041
98,1042
99,1041
100,1039
