run,total
1,1001
2,999
3,998
4,997
5,996
6,997
7,999
8,995
9,996
10,994
11,993
12,994
13,992
14,991
15,990
16,991
17,993
18,989
19,988
20,989
21,991
22,995
23,987
24,988
25,990
26,986
27,987
28,985
29,986
30,984
31,983
32,984
33,982
34,983
35,981
36,980
37,979
38,980
39,978
40,977
41,978
42,980
43,984
44,976
45,977
46,975
47,976
48,974
49,975
50,977
51,981
52,973
53,974
54,972
55,973
56,975
57,979
58,987
59,971
60,972
61,970
62,969
63,970
64,972
65,976
66,984
67,968
68,969
69,967
70,966
71,965
72,964
73,963
74,962
75,961
76,962
77,960
78,959
79,960
80,958
81,959
82,961
83,965
84,973
85,989
86,957
87,958
88,960
89,956
90,955
91,954
92,955
93,953
94,954
95,956
96,960
97,952
98,951
99,950
100,949
101,950
102,948
103,949
104,951
105,947
106,946
107,945
108,944
109,943
110,942
111,943
112,945
113,941
114,942
115,944
116,948
117,940
118,939
119,940
120,938
121,939
122,941
123,937
124,936
125,935
126,934
127,933
128,932
129,931
130,932
131,930
132,929
133,928
134,927
135,928
136,930
137,934
138,942
139,958
140,990
141,926
142,925
143,926
144,928
145,924
146,925
147,923
148,924
149,922
150,923
151,921
152,920
153,919
154,918
155,917
156,918
157,916
158,915
159,914
160,913
161,914
162,916
163,912
164,911
165,912
166,914
167,910
168,909
169,908
170,907
171,906
172,907
173,909
174,913
175,905
176,904
177,903
178,904
179,902
180,901
181,902
182,904
183,900
184,899
185,900
186,902
187,906
188,898
189,897
190,898
191,896
192,895
193,894
194,895
195,893
196,892
197,891
198,892
199,890
200,889
201,888
202,887
203,886
204,887
205,885
206,886
207,884
208,885
209,883
210,882
211,883
212,881
213,880
214,881
215,879
216,878
217,879
218,881
219,877
220,876
221,875
222,874
223,875
224,877
225,873
226,874
227,872
228,871
229,872
230,870
231,869
232,868
233,867
234,868
235,866
236,865
237,864
238,865
239,863
240,862
241,861
242,860
243,861
244,863
245,867
246,875
247,891
248,923
249,987
250,1115
251,1371
252,1883
253,859
254,860
255,858
256,859
257,857
258,858
259,856
260,857
261,855
262,854
263,853
264,854
265,852
266,853
267,851
268,852
269,854
270,858
271,866
272,850
273,849
274,848
275,849
276,847
277,846
278,847
279,849
280,853
281,845
282,844
283,843
284,844
285,846
286,842
287,841
288,842
289,840
290,841
291,839
292,840
293,838
294,839
295,837
296,836
297,835
298,836
299,838
300,834
301,835
302,837
303,841
304,833
305,834
306,832
307,831
308,830
309,831
310,833
311,829
312,828
313,827
314,826
315,825
316,824
317,823
318,824
319,826
320,830
321,822
322,823
323,821
324,822
325,824
326,820
327,819
328,818
329,817
330,816
331,815
332,814
333,815
334,817
335,821
336,829
337,845
338,813
339,812
340,811
341,810
342,809
343,808
344,807
345,806
346,807
347,809
348,805
349,806
350,804
351,805
352,807
353,803
354,802
355,801
356,800
357,799
358,800
359,798
360,799
361,797
362,798
363,796
364,797
365,795
366,794
367,795
368,793
369,792
370,791
371,790
372,791
373,789
374,788
375,789
376,791
377,795
378,803
379,787
380,786
381,785
382,786
383,788
384,784
385,783
386,784
387,782
388,781
