run,total
1,999
2,1000
3,1002
4,998
5,999
6,997
7,998
8,1000
9,1004
10,1012
11,1028
12,1060
13,996
14,995
15,996
16,994
17,993
18,992
19,993
20,995
21,999
22,1007
23,1023
24,991
25,992
26,994
27,998
28,1006
29,1022
30,1054
31,1118
32,990
33,989
34,990
35,988
36,987
37,988
38,990
39,986
40,987
41,985
42,986
43,984
44,985
45,983
46,982
47,981
48,982
49,984
50,988
51,980
52,981
53,979
54,980
55,982
56,986
57,978
58,979
59,981
60,985
61,993
62,1009
63,977
64,978
65,976
66,975
67,976
68,978
69,982
70,974
71,975
72,973
73,974
74,976
75,972
76,973
77,975
78,979
79,971
80,972
81,970
82,969
83,970
84,968
85,969
86,967
87,966
88,965
89,964
90,963
91,964
92,966
93,962
94,961
95,962
96,960
97,959
98,958
99,957
100,956
