run,total
1,999
2,998
3,999
4,1001
5,997
6,998
7,1000
8,996
9,997
10,999
11,1003
12,995
13,994
14,995
15,997
16,1001
17,1009
18,993
19,992
20,993
21,995
22,991
23,990
24,989
25,990
26,988
27,987
28,986
29,987
30,989
31,993
32,1001
33,985
34,986
35,984
36,985
37,983
38,982
39,981
40,982
41,980
42,979
43,980
44,978
45,979
46,977
47,976
48,975
49,976
50,974
51,973
52,974
53,972
54,973
55,971
56,970
57,969
58,970
59,968
60,967
61,968
62,966
63,965
64,966
65,964
66,965
67,963
68,962
69,963
70,965
71,961
72,962
73,964
74,968
75,960
76,959
77,958
78,959
79,957
80,958
81,960
82,956
83,955
84,956
85,958
86,954
87,955
88,953
89,954
90,952
91,953
92,955
93,959
94,951
95,952
96,950
97,951
98,949
99,950
100,948
