run,total
1,1010
2,990
3,1000
4,980
5,960
6,940
7,920
8,900
9,910
10,920
11,900
12,910
13,920
14,930
15,910
16,920
17,930
18,940
19,950
20,960
21,970
22,980
23,960
24,970
25,980
26,990
27,1000
28,1010
29,1020
30,1030
31,1010
32,1020
33,1030
34,1040
35,1050
36,1060
37,1040
38,1020
39,1030
40,1010
41,1020
42,1030
43,1010
44,1020
45,1030
46,1040
47,1020
48,1030
49,1040
50,1020
51,1030
52,1040
53,1050
54,1030
55,1040
56,1050
57,1060
58,1070
59,1050
60,1030
61,1040
62,1020
63,1030
64,1010
65,990
66,1000
67,1010
68,1020
69,1030
70,1010
71,1020
72,1030
73,1040
74,1050
75,1060
76,1040
77,1020
78,1030
79,1040
80,1020
81,1030
82,1010
83,990
84,1000
85,1010
86,1020
87,1030
88,1040
89,1050
90,1060
91,1070
92,1080
93,1090
94,1100
95,1110
96,1120
97,1100
98,1080
99,1090
100,1100
101,1110
102,1120
103,1100
104,1110
105,1120
106,1100
107,1080
108,1090
109,1100
110,1080
111,1090
112,1100
113,1080
114,1090
115,1070
116,1050
117,1030
118,1040
119,1050
120,1030
121,1040
122,1020
123,1030
124,1040
125,1050
126,1060
127,1070
128,1080
129,1090
130,1100
131,1110
132,1120
133,1130
134,1140
135,1120
136,1100
137,1080
138,1060
139,1070
140,1080
141,1090
142,1100
143,1080
144,1090
145,1100
146,1110
147,1090
148,1100
149,1110
150,1090
151,1100
152,1110
153,1090
154,1100
155,1080
156,1060
157,1040
158,1050
159,1030
160,1040
161,1050
162,1060
163,1040
164,1050
165,1060
166,1040
167,1020
168,1030
169,1040
170,1050
171,1060
172,1070
173,1080
174,1090
175,1100
176,1080
177,1090
178,1100
179,1080
180,1090
181,1100
182,1110
183,1120
184,1130
185,1110
186,1120
187,1100
188,1080
189,1060
190,1070
191,1080
192,1060
193,1040
194,1050
195,1060
196,1070
197,1080
198,1090
199,1100
200,1110
201,1090
202,1070
203,1080
204,1060
205,1070
206,1050
207,1060
208,1070
209,1050
210,1060
211,1040
212,1050
213,1060
214,1040
215,1050
216,1060
217,1040
218,1050
219,1030
220,1010
221,1020
222,1030
223,1010
224,990
225,1000
226,1010
227,990
228,1000
229,1010
230,1020
231,1000
232,1010
233,1020
234,1030
235,1040
236,1050
237,1060
238,1040
239,1050
240,1030
241,1010
242,1020
243,1000
244,980
245,960
246,970
247,950
248,930
249,910
250,890
251,900
252,880
253,890
254,870
255,880
256,860
257,870
258,880
259,890
260,900
261,880
262,860
263,840
264,820
265,830
266,840
267,850
268,830
269,840
270,820
271,830
272,810
273,790
274,770
275,750
276,760
277,770
278,780
279,760
280,740
281,750
282,730
283,710
284,720
285,730
286,740
287,720
288,730
289,740
290,750
291,760
292,770
293,780
294,790
295,770
296,750
297,760
298,740
299,750
300,730
301,740
302,750
303,730
304,710
305,720
306,700
307,710
308,720
309,730
310,710
311,690
312,670
313,680
314,690
315,700
316,710
317,690
318,700
319,680
320,690
321,700
322,710
323,720
324,730
325,710
326,690
327,670
328,680
329,660
330,640
331,620
332,600
333,610
334,620
335,630
336,640
337,650
338,660
339,670
340,680
341,660
342,670
343,650
344,660
345,640
346,650
347,630
348,610
349,590
350,600
351,610
352,620
353,630
354,640
355,650
356,660
357,640
358,650
359,630
360,640
361,620
362,630
363,640
364,650
365,660
366,640
367,620
368,630
369,640
370,620
371,600
372,610
373,620
374,600
375,610
376,620
377,600
378,580
379,590
380,600
381,580
382,590
383,600
384,580
385,590
386,600
387,610
388,620
389,600
390,610
391,620
392,600
393,610
394,620
395,630
396,640
397,650
398,660
399,670
400,680
401,690
402,700
403,680
404,690
405,670
406,680
407,690
408,700
409,680
410,690
411,700
412,710
413,690
414,700
415,710
416,720
417,700
418,710
419,720
420,700
421,710
422,690
423,700
424,710
425,720
426,730
427,710
428,720
429,700
430,680
431,660
432,640
433,620
434,630
435,610
436,620
437,630
438,640
439,620
440,600
441,610
442,620
443,630
444,610
445,620
446,630
447,640
448,620
449,630
450,640
451,650
452,630
453,610
454,590
455,570
456,580
457,560
458,570
459,580
460,560
461,570
462,580
463,560
464,540
465,550
466,530
467,540
468,520
469,530
470,510
471,490
472,500
473,510
474,490
475,500
476,480
477,490
478,500
479,510
480,520
481,500
482,510
483,520
484,530
485,540
486,520
487,500
488,480
489,490
490,500
491,510
492,490
493,470
494,450
495,460
496,470
497,480
498,490
499,500
500,510
501,490
502,500
503,510
504,520
505,530
506,510
507,490
508,500
509,510
510,520
511,530
512,540
513,520
514,500
515,510
516,520
517,530
518,540
519,550
520,530
521,540
522,550
523,530
524,540
525,550
526,560
527,570
528,550
529,560
530,570
531,580
532,560
533,570
534,580
535,560
536,540
537,520
538,530
539,540
540,550
541,530
542,540
543,550
544,530
545,540
546,520
547,530
548,540
549,550
550,560
551,570
552,580
553,590
554,600
555,610
556,590
557,600
558,610
559,620
560,600
561,610
562,590
563,570
564,550
565,530
566,540
567,520
568,530
569,540
570,550
571,560
572,570
573,580
574,560
575,570
576,550
577,560
578,540
579,520
580,530
581,510
582,520
583,530
584,510
585,520
586,530
587,540
588,550
589,530
590,540
591,550
592,560
593,570
594,580
595,560
596,540
597,550
598,560
599,570
600,580
601,590
602,600
603,610
604,620
605,600
606,610
607,590
608,600
609,610
610,590
611,570
612,580
613,560
614,570
615,550
616,560
617,540
618,520
619,530
620,540
621,550
622,560
623,570
624,550
625,560
626,540
627,520
628,500
629,510
630,490
631,500
632,510
633,520
634,530
635,540
636,520
637,500
638,510
639,520
640,500
641,510
642,520
643,530
644,540
645,520
646,530
647,540
648,550
649,560
650,540
651,550
652,560
653,540
654,550
655,560
656,540
657,520
658,530
659,540
660,550
661,560
662,540
663,520
664,500
665,480
666,490
667,500
668,510
669,520
670,500
671,480
672,490
673,470
674,480
675,490
676,470
677,480
678,490
679,500
680,480
681,490
682,470
683,450
684,460
685,470
686,480
687,490
688,500
689,480
690,490
691,500
692,480
693,460
694,440
695,450
696,460
697,470
698,480
699,460
700,440
701,450
702,430
703,410
704,420
705,430
706,440
707,450
708,430
709,440
710,450
711,430
712,440
713,450
714,430
715,440
716,450
717,460
718,440
719,450
720,460
721,470
722,480
723,490
724,500
725,480
726,490
727,470
728,480
729,460
730,470
731,450
732,460
733,470
734,450
735,460
736,470
737,450
738,460
739,440
740,450
741,460
742,470
743,480
744,460
745,470
746,480
747,490
748,500
749,480
750,460
751,470
752,480
753,490
754,470
755,480
756,460
757,440
758,450
759,430
760,440
761,420
762,430
763,440
764,450
765,460
766,470
767,450
768,460
769,470
770,480
771,460
772,470
773,480
774,490
775,470
776,450
777,460
778,470
779,480
780,460
781,440
782,450
783,460
784,470
785,450
786,430
787,440
788,420
789,430
790,410
791,420
792,430
793,410
794,390
795,400
796,410
797,420
798,400
799,410
800,420
801,430
802,440
803,420
804,430
805,410
806,390
807,400
808,380
809,390
810,370
811,380
812,360
813,340
814,350
815,330
816,310
817,290
818,270
819,250
820,260
821,240
822,220
823,200
824,210
825,220
826,200
827,180
828,160
829,170
830,180
831,190
832,200
833,210
834,190
835,170
836,150
837,160
838,170
839,150
840,130
841,140
842,150
843,160
844,170
845,180
846,190
847,200
848,180
849,160
850,170
851,180
852,190
853,170
854,150
855,160
856,170
857,180
858,190
859,170
860,180
861,190
862,170
863,150
864,160
865,170
866,180
867,160
868,140
869,120
870,130
871,110
872,90
873,100
874,80
875,90
876,100
877,110
878,90
879,70
880,50
881,60
882,70
883,80
884,90
885,100
886,80
887,90
888,100
889,110
890,120
891,130
892,140
893,150
894,160
895,170
896,150
897,130
898,110
899,120
900,130
901,140
902,150
903,130
904,110
905,120
906,130
907,140
908,120
909,130
910,140
911,120
912,130
913,140
914,150
915,130
916,140
917,120
918,100
919,110
920,120
921,100
922,110
923,120
924,130
925,110
926,120
927,130
928,110
929,120
930,130
931,140
932,150
933,160
934,170
935,150
936,160
937,140
938,150
939,130
940,110
941,120
942,100
943,110
944,120
945,130
946,110
947,90
948,70
949,50
950,60
951,70
952,50
953,60
954,40
955,20
956,30
957,40
958,50
959,30
960,10
961,-10
962,0
963,-20
964,-40
965,-30
966,-20
967,-10
968,-30
969,-20
970,-10
971,0
972,10
973,-10
974,0
975,10
976,20
977,30
978,10
979,20
980,30
981,10
982,20
983,0
984,10
985,-10
986,0
987,10
988,20
989,30
990,40
991,50
992,60
993,40
994,50
995,60
996,70
997,50
998,60
999,70
1000,80
1001,60
1002,40
1003,20
1004,0
1005,10
1006,20
1007,0
1008,-20
1009,-10
1010,-30
1011,-50
1012,-40
1013,-30
1014,-50
1015,-40
1016,-60
1017,-80
1018,-70
1019,-60
1020,-50
1021,-40
1022,-60
1023,-50
1024,-40
1025,-30
1026,-20
1027,-10
1028,-30
1029,-20
1030,-10
1031,-30
1032,-50
1033,-40
1034,-60
1035,-50
1036,-40
1037,-60
1038,-80
1039,-100
1040,-90
1041,-110
1042,-130
1043,-120
1044,-140
1045,-160
1046,-180
1047,-170
1048,-160
1049,-150
1050,-170
1051,-190
1052,-180
1053,-170
1054,-160
1055,-180
1056,-170
1057,-160
1058,-150
1059,-140
1060,-130
1061,-120
1062,-140
1063,-130
1064,-120
1065,-110
1066,-100
1067,-90
1068,-110
1069,-100
1070,-90
1071,-80
1072,-70
1073,-90
1074,-80
1075,-70
1076,-60
1077,-80
1078,-70
1079,-90
1080,-80
1081,-70
1082,-60
1083,-50
1084,-40
1085,-30
1086,-20
1087,-10
1088,0
1089,-20
1090,-40
1091,-30
1092,-20
1093,-10
1094,-30
1095,-20
1096,-10
1097,0
1098,-20
1099,-10
1100,-30
1101,-20
1102,-40
1103,-60
1104,-80
1105,-70
1106,-90
1107,-80
1108,-100
1109,-120
1110,-110
1111,-130
1112,-120
1113,-140
1114,-130
1115,-120
1116,-110
1117,-130
1118,-150
1119,-170
1120,-160
1121,-150
1122,-140
1123,-130
1124,-120
1125,-110
1126,-100
1127,-90
1128,-110
1129,-100
1130,-90
1131,-110
1132,-100
1133,-90
1134,-80
1135,-70
1136,-60
1137,-80
1138,-70
1139,-60
1140,-50
1141,-40
1142,-30
1143,-50
1144,-40
1145,-30
1146,-50
1147,-40
1148,-30
1149,-20
1150,-10
1151,0
1152,-20
1153,-10
1154,0
1155,10
1156,20
1157,30
1158,40
1159,50
1160,60
1161,70
1162,80
1163,60
1164,40
1165,50
1166,30
1167,40
1168,50
1169,30
1170,10
1171,-10
1172,-30
1173,-50
1174,-40
1175,-60
1176,-50
1177,-70
1178,-60
1179,-50
1180,-70
1181,-90
1182,-80
1183,-70
1184,-60
1185,-80
1186,-70
1187,-60
1188,-80
1189,-100
1190,-90
1191,-80
1192,-70
1193,-60
1194,-50
1195,-40
1196,-30
1197,-50
1198,-70
1199,-90
1200,-80
1201,-70
1202,-60
1203,-50
1204,-40
1205,-60
1206,-80
1207,-70
1208,-60
1209,-50
1210,-40
1211,-30
1212,-20
1213,-40
1214,-30
1215,-20
1216,-10
1217,-30
1218,-20
1219,-10
1220,0
1221,-20
1222,-40
1223,-60
1224,-50
1225,-40
1226,-30
1227,-20
1228,-10
1229,0
1230,10
1231,-10
1232,0
1233,10
1234,20
1235,30
1236,40
1237,50
1238,60
1239,70
1240,50
1241,60
1242,70
1243,50
1244,60
1245,70
1246,80
1247,90
1248,100
1249,80
1250,90
1251,70
1252,50
1253,60
1254,70
1255,80
1256,90
1257,100
1258,110
1259,90
1260,100
1261,110
1262,90
1263,100
1264,110
1265,120
1266,130
1267,110
1268,120
1269,100
1270,110
1271,120
1272,100
1273,110
1274,120
1275,130
1276,140
1277,150
1278,130
1279,110
1280,120
1281,130
1282,140
1283,150
1284,160
1285,170
1286,180
1287,160
1288,170
1289,180
1290,190
1291,170
